SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,STL,27,0,0,0,30.2,28,13,12,4,15,29,0,0,0,1,1,0.1,1.40,3.52
2011,STL,68,0,0,0,75.0,50,20,19,7,21,75,5,6,24,6,6,2.4,0.95,2.28
2012,STL,65,0,0,0,58.2,56,28,28,5,27,60,1,4,0,7,3,-0.1,1.41,4.30
2013,STL,27,0,0,0,28.0,27,15,14,3,6,22,0,3,0,2,2,-0.1,1.18,4.50
2014,LAA,57,0,0,0,58.2,50,22,22,5,14,61,5,0,0,9,1,0.6,1.09,3.38
2015,LAA,72,0,0,0,63.2,61,34,30,8,12,74,5,2,0,18,2,-0.5,1.15,4.24
2016,LAA,58,0,0,0,56.1,52,28,28,9,19,45,3,6,6,13,5,-0.1,1.26,4.47
2016,NYM,17,0,0,0,17.1,11,4,4,3,0,19,0,1,0,7,0,0.6,0.63,2.08
2016,Total,75,0,0,0,73.2,63,32,32,12,19,64,3,7,6,20,5,0.5,1.11,3.91
2017,LAA,13,0,0,0,13.2,7,4,4,0,2,9,1,0,0,1,0,0.3,0.66,2.63
2017,NYM,48,0,0,0,45.0,60,35,30,7,20,47,1,2,0,11,1,-0.9,1.78,6.00
2017,Total,61,0,0,0,58.2,67,39,34,7,22,56,2,2,0,12,1,-0.6,1.52,5.22
2018,ARI,23,0,0,0,24.2,26,13,13,3,7,20,3,4,0,2,0,-0.2,1.34,4.74
