YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,NYY,3,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,-0.1
2009,NYY,42,94,13,28,4,0,1,11,2,11,0,3,.298,.309,.372,.681,0.5
2010,NYY,93,266,27,72,11,3,0,38,33,42,1,1,.271,.359,.335,.694,0.7
2011,NYY,43,124,17,33,4,0,4,22,9,29,4,1,.266,.324,.395,.719,0.7
2012,NYY,3,1,1,0,0,0,0,0,1,0,0,0,.000,.500,.000,.500,0.0
2013,NYY,17,52,12,14,3,0,3,8,8,9,0,0,.269,.377,.500,.877,0.8
2014,NYY,49,146,18,44,11,1,2,13,11,41,1,0,.301,.370,.432,.802,1.1
2015,PIT,130,451,56,133,17,5,7,43,46,94,1,1,.295,.370,.401,.771,3.1
2016,PIT,101,326,42,86,14,1,1,33,56,72,6,2,.264,.377,.322,.699,1.6
2017,PIT,81,265,31,66,13,2,5,31,32,65,0,2,.249,.342,.370,.712,0.7
2018,PIT,38,124,17,35,6,2,7,27,20,28,0,2,.282,.399,.532,.931,1.5
