SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,MIN,6,4,0,0,23.2,19,15,15,4,7,33,1,2,0,0,0,-0.1,1.10,5.70
2006,MIN,28,16,0,0,121.0,89,31,29,9,32,144,12,3,1,1,0,4.4,1.00,2.16
2008,MIN,14,14,0,0,76.0,74,40,33,7,32,67,6,4,0,0,0,0.4,1.39,3.91
2009,MIN,29,24,0,0,136.2,147,93,88,21,65,122,5,13,0,0,0,-0.4,1.55,5.80
2010,MIN,31,31,0,0,191.2,184,77,77,9,58,201,14,10,0,0,0,4.0,1.26,3.62
2011,MIN,26,24,1,1,134.1,125,81,76,14,75,112,9,10,0,0,0,0.6,1.49,5.09
2012,CHW,12,11,0,0,56.2,54,34,34,7,32,58,3,2,0,0,0,0.2,1.52,5.40
2012,MIN,22,17,0,0,100.0,89,63,59,12,55,109,3,10,0,1,0,-0.5,1.44,5.31
2012,Total,34,28,0,0,156.2,143,97,93,19,87,167,6,12,0,1,0,-0.3,1.47,5.34
2013,PIT,26,26,2,0,161.0,134,54,54,9,63,163,16,8,0,0,0,3.0,1.22,3.02
2014,PIT,29,29,0,0,162.1,130,68,61,13,81,175,7,10,0,0,0,1.5,1.30,3.38
2015,PIT,31,31,0,0,186.2,155,75,70,15,70,205,12,7,0,0,0,2.8,1.21,3.38
2016,TOR,10,8,0,0,49.1,42,22,16,7,16,52,2,2,0,0,0,0.7,1.18,2.92
2016,PIT,21,21,0,0,113.2,115,76,69,19,69,116,6,11,0,0,0,-0.4,1.62,5.46
2016,Total,31,29,0,0,163.0,157,98,85,26,85,168,8,13,0,0,0,0.3,1.48,4.69
2017,TOR,18,18,0,0,82.2,91,57,54,11,43,74,6,5,0,0,0,-0.0,1.62,5.88
2017,HOU,20,0,0,0,14.1,14,9,7,0,10,11,0,2,0,6,0,-0.2,1.67,4.40
2017,Total,38,18,0,0,97.0,105,66,61,11,53,85,6,7,0,6,0,-0.2,1.63,5.66
2018,DET,9,9,0,0,52.2,35,20,20,5,26,37,3,1,0,0,0,1.4,1.16,3.42
