SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,NYY,7,0,0,0,6.0,4,2,2,1,3,6,0,0,0,0,0,0.1,1.17,3.00
2012,SF,44,0,0,0,43.2,34,15,12,3,12,44,2,1,0,5,1,0.4,1.05,2.47
2013,SF,52,0,0,0,55.1,60,30,27,7,18,47,2,2,0,5,1,-0.6,1.41,4.39
2014,SF,24,0,0,0,32.1,24,10,10,1,11,27,4,0,0,1,0,0.5,1.08,2.78
2015,SF,73,0,0,0,73.1,57,20,19,9,12,44,4,4,0,14,2,1.6,0.94,2.33
2016,SF,57,0,0,0,53.1,42,19,15,3,20,35,3,2,0,9,2,0.9,1.16,2.53
2017,PIT,15,0,0,0,14.2,9,3,3,1,3,15,1,1,1,6,1,0.6,0.82,1.84
2017,SF,50,0,0,0,51.2,52,24,22,8,17,55,0,5,0,5,5,0.6,1.34,3.83
2017,Total,65,0,0,0,66.1,61,27,25,9,20,70,1,6,1,11,6,1.1,1.22,3.39
2018,PIT,21,0,0,0,19.2,23,12,11,4,5,9,2,3,1,5,1,-0.2,1.42,5.03
