YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,ARI,120,455,59,132,21,8,5,60,25,89,5,7,.290,.324,.404,.728,0.0
2010,ARI,133,364,31,95,19,6,3,30,23,76,1,0,.261,.308,.371,.679,0.4
2011,ARI,141,445,55,130,20,8,8,46,43,82,15,1,.292,.357,.427,.784,2.8
2012,ARI,133,385,58,105,21,2,7,36,33,77,15,9,.273,.335,.392,.727,1.6
2013,ARI,156,601,79,161,43,4,10,48,48,100,10,10,.268,.323,.403,.726,6.1
2014,MIL,46,123,13,33,4,1,3,10,8,28,4,2,.268,.318,.390,.708,-0.3
2014,ARI,104,406,51,105,18,3,6,30,24,72,5,5,.259,.305,.362,.667,0.1
2014,Total,150,529,64,138,22,4,9,40,32,100,9,7,.261,.308,.369,.677,-0.2
2015,BAL,55,224,30,53,12,0,5,20,8,35,5,1,.237,.268,.357,.625,-1.1
2015,MIL,100,323,53,106,24,5,9,31,20,57,9,3,.328,.369,.517,.886,2.1
2015,Total,155,547,83,159,36,5,14,51,28,92,14,4,.291,.328,.452,.780,1.0
2016,COL,102,368,45,93,27,3,7,39,9,73,6,4,.253,.271,.399,.670,-2.8
2017,COL,115,392,56,121,24,1,10,71,20,67,2,5,.309,.341,.452,.793,0.9
2018,COL,45,145,18,40,7,0,3,11,9,24,5,1,.276,.318,.386,.704,0.0
