SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,OAK,10,7,0,0,34.0,32,34,29,9,25,34,1,4,0,0,0,-1.2,1.68,7.68
2009,OAK,20,17,0,0,98.2,113,68,63,14,56,109,6,7,0,0,0,-0.5,1.71,5.75
2010,OAK,33,33,1,0,200.2,171,75,72,15,92,171,15,9,0,0,0,3.6,1.31,3.23
2011,OAK,32,32,0,0,202.0,175,81,70,17,91,197,16,12,0,0,0,3.9,1.32,3.12
2012,WSH,32,32,2,1,199.1,149,69,64,9,76,207,21,8,0,0,0,4.5,1.13,2.89
2013,WSH,32,32,1,1,195.2,169,79,73,17,76,192,11,8,0,0,0,3.0,1.25,3.36
2014,WSH,27,27,0,0,158.2,134,66,63,10,56,162,10,10,0,0,0,2.3,1.20,3.57
2015,WSH,31,31,0,0,175.2,181,79,74,8,69,169,11,8,0,0,0,2.7,1.42,3.79
2016,WSH,32,32,0,0,177.1,179,98,90,19,59,171,11,11,0,0,0,0.8,1.34,4.57
2017,WSH,32,32,0,0,201.0,158,69,66,21,79,188,15,9,0,0,0,6.6,1.18,2.96
2018,WSH,10,10,0,0,56.2,49,17,15,3,26,60,5,2,0,0,0,1.7,1.32,2.38
