YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2005,BOS,2,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,-0.1
2006,FLA,158,633,119,185,46,11,17,59,56,128,51,15,.292,.353,.480,.833,4.6
2007,FLA,154,639,125,212,48,6,29,81,52,95,51,14,.332,.386,.562,.948,4.2
2008,FLA,153,589,125,177,34,4,33,67,92,122,35,12,.301,.400,.540,.940,6.5
2009,FLA,151,576,101,197,42,1,24,106,61,101,27,8,.342,.410,.543,.953,7.1
2010,FLA,142,543,92,163,28,2,21,76,64,93,32,10,.300,.378,.475,.853,2.6
2011,FLA,92,338,55,82,16,0,10,45,44,66,20,10,.243,.333,.379,.712,0.0
2012,LAD,64,251,30,68,11,2,10,44,17,60,7,3,.271,.324,.450,.774,0.7
2012,MIA,93,353,49,87,18,2,14,48,37,72,14,4,.246,.322,.428,.750,0.5
2012,Total,157,604,79,155,29,4,24,92,54,132,21,7,.257,.322,.437,.759,1.2
2013,LAD,86,304,62,105,25,2,20,57,27,52,10,2,.345,.402,.638,1.040,5.4
2014,LAD,128,449,64,127,35,0,13,71,56,84,14,5,.283,.369,.448,.817,3.5
2015,BOS,105,401,59,100,12,1,19,53,21,71,6,3,.249,.291,.426,.717,-1.3
2016,BOS,147,549,81,157,28,1,30,111,60,120,9,3,.286,.361,.505,.866,2.8
2017,BOS,133,496,58,120,24,0,23,62,51,116,1,3,.242,.320,.429,.749,-0.3
2018,BOS,44,177,25,45,7,0,6,29,14,35,4,1,.254,.313,.395,.708,0.1
