SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,CHW,2,0,0,0,5.1,1,0,0,0,1,2,0,0,0,0,0,0.2,0.38,0.00
2012,CHW,42,4,0,0,70.1,54,26,26,10,40,79,4,1,4,4,2,1.5,1.34,3.33
2013,CHW,34,23,0,0,149.0,137,69,59,17,72,137,4,9,0,0,0,2.8,1.40,3.56
2014,LAA,30,24,0,0,127.1,120,63,53,15,53,108,6,9,0,1,0,0.6,1.36,3.75
2015,LAA,33,32,0,0,180.2,156,80,72,29,71,162,9,9,0,0,0,1.8,1.26,3.59
2016,LAA,22,22,0,0,120.2,104,61,57,20,57,107,10,4,0,0,0,0.8,1.33,4.25
2016,MIN,11,11,0,0,61.1,65,39,38,13,22,37,3,6,0,0,0,0.2,1.42,5.58
2016,Total,33,33,0,0,182.0,169,100,95,33,79,144,13,10,0,0,0,0.9,1.36,4.70
2017,MIN,15,14,0,0,70.1,70,44,44,15,31,51,4,8,0,0,0,-0.0,1.44,5.63
2018,CHW,13,4,0,0,38.1,37,22,22,8,21,34,0,2,0,0,0,0.1,1.51,5.17
