SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,CIN,9,9,0,0,45.1,43,32,29,3,28,28,4,2,0,0,0,-0.2,1.57,5.76
2008,CIN,8,8,0,0,36.1,59,36,32,8,17,18,0,6,0,0,0,-1.0,2.09,7.93
2009,CIN,20,20,0,0,113.1,115,61,57,12,52,86,8,5,0,0,0,0.5,1.47,4.53
2010,CIN,19,19,1,1,109.0,109,55,54,11,40,100,4,3,0,0,0,0.4,1.37,4.46
2011,CIN,22,22,0,0,132.0,136,68,65,18,33,106,9,7,0,0,0,0.2,1.28,4.43
2012,CIN,33,33,2,1,208.0,206,97,85,26,52,168,13,10,0,0,0,2.5,1.24,3.68
2013,CIN,32,32,2,1,209.0,181,85,81,20,54,199,11,12,0,0,0,3.2,1.12,3.49
2014,CIN,23,23,1,1,145.2,134,60,60,16,45,124,9,5,0,0,0,1.3,1.23,3.71
2015,CIN,2,2,0,0,11.1,16,7,7,3,4,3,0,1,0,0,0,-0.1,1.76,5.56
2016,CIN,6,6,0,0,23.0,35,19,17,2,7,27,2,3,0,0,0,-0.4,1.83,6.65
2017,CIN,18,18,0,0,91.0,112,67,65,11,42,67,6,9,0,0,0,-0.9,1.69,6.43
2018,CIN,11,11,0,0,58.0,75,41,40,13,23,35,1,6,0,0,0,-0.8,1.69,6.21
