SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,NYY,3,3,0,0,19.0,13,6,4,1,9,15,1,0,0,0,0,0.6,1.16,1.89
2008,NYY,10,9,0,0,39.2,50,37,36,5,26,27,0,4,0,0,0,-0.9,1.92,8.17
2009,NYY,1,0,0,0,1.0,0,0,0,0,2,1,0,0,0,1,0,0.1,2.00,0.00
2010,ARI,32,32,0,0,194.0,163,87,82,26,70,168,9,10,0,0,0,2.7,1.20,3.80
2011,ARI,33,33,1,1,222.0,186,73,71,19,55,198,21,4,0,0,0,4.7,1.09,2.88
2012,ARI,33,33,1,0,208.1,216,101,93,28,55,187,15,12,0,0,0,2.1,1.30,4.02
2013,SD,10,10,0,0,57.1,52,29,27,9,25,55,4,2,0,0,0,-0.0,1.34,4.24
2013,ARI,21,21,0,0,124.0,128,79,72,18,48,108,3,8,0,0,0,-1.5,1.42,5.23
2013,Total,31,31,0,0,181.1,180,108,99,27,73,163,7,10,0,0,0,-1.5,1.40,4.91
2014,SD,33,33,0,0,201.0,189,85,81,16,70,207,13,13,0,0,0,1.4,1.29,3.63
2015,SD,30,30,0,0,168.1,166,95,80,31,52,174,9,15,0,0,0,-0.4,1.30,4.28
2016,KC,33,33,0,0,195.2,173,81,80,33,66,184,11,11,0,0,0,4.1,1.22,3.68
2017,KC,30,30,0,0,154.0,143,99,92,34,61,131,5,13,0,0,0,0.5,1.32,5.38
2018,KC,10,10,0,0,52.2,64,33,31,9,17,50,1,5,0,0,0,-0.1,1.54,5.30
