YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,TEX,120,423,65,121,27,1,14,55,40,64,11,4,.286,.347,.454,.801,1.6
2007,TEX,130,483,96,127,22,2,20,61,62,83,23,2,.263,.355,.441,.796,3.8
2008,TEX,121,518,102,165,41,4,18,71,45,67,26,2,.319,.375,.517,.892,4.6
2009,TEX,144,566,101,143,32,4,31,86,59,77,31,5,.253,.327,.488,.815,5.8
2010,TEX,103,391,73,112,20,1,9,45,56,57,15,5,.286,.382,.412,.794,3.8
2011,TEX,155,620,121,158,34,4,32,77,89,71,30,4,.255,.355,.477,.832,7.1
2012,TEX,157,655,105,168,42,5,19,72,60,90,21,9,.256,.326,.423,.749,2.0
2013,TEX,136,545,85,151,31,2,13,72,51,59,15,11,.277,.344,.413,.757,5.0
2014,DET,161,684,100,188,40,4,17,92,29,79,15,4,.275,.307,.420,.727,5.5
2015,DET,154,624,94,185,35,7,11,73,43,80,10,6,.296,.342,.428,.770,6.0
2016,DET,153,618,117,178,29,4,28,83,45,115,14,6,.288,.348,.484,.832,6.1
2017,DET,139,551,90,130,25,3,22,52,55,86,14,5,.236,.313,.412,.725,2.1
2018,LAA,36,142,14,27,7,0,2,6,14,17,6,1,.190,.264,.282,.546,0.1
