SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,NYY,10,7,0,0,42.0,44,22,21,4,17,26,1,2,0,0,1,0.3,1.45,4.50
2011,NYY,28,27,0,0,165.1,163,74,68,13,57,98,16,4,0,0,0,3.0,1.33,3.70
2012,NYY,28,28,0,0,170.1,194,100,95,28,56,153,12,8,0,0,0,0.4,1.47,5.02
2013,NYY,23,20,3,2,139.1,135,49,48,9,44,116,9,6,0,0,0,3.5,1.28,3.10
2014,NYY,4,4,0,0,20.2,32,19,19,6,6,12,2,2,0,0,0,-0.7,1.84,8.27
2015,NYY,17,17,0,0,94.0,99,54,53,13,33,63,6,11,0,0,0,0.6,1.40,5.07
2016,NYY,21,15,0,0,97.1,107,54,53,19,25,75,7,6,1,0,0,0.6,1.36,4.90
2016,PIT,11,11,3,0,64.2,68,27,22,4,3,52,5,2,0,0,0,1.4,1.10,3.06
2016,Total,32,26,3,0,162.0,175,81,75,23,28,127,12,8,1,0,0,2.0,1.25,4.17
2017,PIT,31,31,2,1,187.0,203,96,86,29,36,131,11,14,0,0,0,2.1,1.28,4.14
2018,PIT,11,11,0,0,61.2,73,39,34,10,10,47,2,5,0,0,0,-0.2,1.35,4.96
