SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,PHI,1,1,0,0,4.0,7,5,5,3,2,5,0,1,0,0,0,-0.2,2.25,11.25
2008,PHI,8,4,0,0,31.2,28,13,13,3,14,26,1,0,0,1,0,0.5,1.33,3.69
2009,PHI,35,23,3,2,166.0,149,55,54,20,56,119,12,4,0,0,0,4.0,1.23,2.93
2010,HOU,13,13,1,1,72.0,60,33,30,7,35,61,5,4,0,0,0,0.9,1.32,3.75
2010,PHI,3,3,0,0,15.1,13,4,3,1,12,9,1,0,0,0,0,0.5,1.63,1.76
2010,Total,16,16,1,1,87.1,73,37,33,8,47,70,6,4,0,0,0,1.4,1.37,3.40
2011,HOU,28,28,0,0,156.1,157,103,93,21,83,134,6,15,0,0,0,-1.9,1.54,5.35
2012,TOR,10,6,0,0,40.1,35,21,21,2,17,46,3,2,0,1,0,0.2,1.29,4.69
2012,HOU,18,18,0,0,104.1,112,58,56,17,39,98,7,9,0,0,0,0.4,1.45,4.83
2012,Total,28,24,0,0,144.2,147,79,77,19,56,144,10,11,0,1,0,0.6,1.40,4.79
2013,TOR,18,18,0,0,92.2,91,53,47,10,45,77,5,7,0,0,0,0.1,1.47,4.56
2014,TOR,30,26,0,0,158.0,160,79,74,22,51,133,11,11,0,0,0,1.4,1.34,4.22
2015,SEA,21,20,0,0,108.2,121,58,56,13,32,82,4,6,0,0,0,0.6,1.41,4.64
2015,PIT,11,11,0,0,63.1,52,13,13,3,13,69,7,2,0,0,0,2.4,1.03,1.85
2015,Total,32,31,0,0,172.0,173,71,69,16,45,151,11,8,0,0,0,3.0,1.27,3.61
2016,TOR,32,32,0,0,195.0,168,72,69,22,60,163,20,4,0,0,0,4.4,1.17,3.18
2017,TOR,25,25,0,0,145.1,145,64,57,18,46,142,10,11,0,0,0,3.6,1.31,3.53
2018,TOR,10,10,0,0,59.0,49,27,26,9,16,71,6,3,0,0,0,1.0,1.10,3.97
