YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2011,HOU,53,208,29,57,13,0,6,35,13,48,0,1,.274,.319,.423,.742,0.3
2012,HOU,113,395,34,95,14,3,11,55,40,96,0,2,.241,.311,.375,.686,-0.7
2013,HOU,86,296,24,74,17,0,7,36,10,82,2,0,.250,.272,.378,.650,-1.3
2014,DET,123,441,57,139,30,3,23,76,30,126,6,3,.315,.358,.553,.911,4.2
2015,DET,158,596,93,168,33,2,38,102,53,178,3,2,.282,.344,.535,.879,5.0
2016,DET,120,460,69,141,35,2,22,68,49,128,1,2,.307,.373,.535,.908,1.8
2017,DET,57,200,38,61,13,2,16,39,29,54,2,0,.305,.388,.630,1.018,1.6
2017,ARI,62,232,47,70,13,1,29,65,24,74,2,0,.302,.366,.741,1.107,2.6
2017,Total,119,432,85,131,26,3,45,104,53,128,4,0,.303,.376,.690,1.066,4.1
2018,BOS,48,186,32,61,12,1,15,41,17,53,0,0,.328,.383,.645,1.028,1.9
