SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,DET,3,3,0,0,12.2,17,13,12,3,4,8,0,1,0,0,0,-0.5,1.66,8.53
2012,DET,3,3,0,0,12.1,17,11,11,4,7,7,1,1,0,0,0,-0.2,1.95,8.03
2012,MIA,7,7,0,0,42.2,33,21,16,5,9,29,1,4,0,0,0,0.4,0.98,3.38
2012,Total,10,10,0,0,55.0,50,32,27,9,16,36,2,5,0,0,0,0.2,1.20,4.42
2013,MIA,20,20,1,0,118.0,116,55,49,11,54,77,3,8,0,0,0,1.4,1.44,3.74
2014,CHC,8,6,0,0,34.2,42,27,25,4,10,17,2,4,0,1,0,-0.6,1.50,6.49
2014,MIA,20,12,0,0,78.1,106,54,52,8,23,54,4,7,0,0,0,-1.1,1.65,5.97
2014,Total,28,18,0,0,113.0,148,81,77,12,33,71,6,11,0,1,0,-1.7,1.60,6.13
2016,CHW,18,2,0,0,24.2,33,27,18,5,16,18,1,2,0,2,0,-1.2,1.99,6.57
2017,WSH,18,2,0,0,39.0,43,23,22,8,15,23,2,3,0,1,3,-0.0,1.49,5.08
2018,MIA,4,0,0,0,5.2,13,10,10,1,5,2,0,0,0,0,0,-0.6,3.18,15.88
