YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,BOS,33,116,20,41,7,1,3,18,8,15,9,0,.353,.394,.509,.903,0.6
2008,BOS,145,554,98,155,22,7,9,47,41,80,50,11,.280,.336,.394,.730,2.7
2009,BOS,153,624,94,188,27,10,8,60,49,74,70,12,.301,.355,.415,.770,2.5
2010,BOS,18,78,10,15,4,0,0,5,4,9,7,1,.192,.241,.244,.485,-0.2
2011,BOS,158,660,119,212,46,5,32,105,52,98,39,15,.321,.376,.552,.928,8.0
2012,BOS,74,303,43,82,18,0,4,26,19,43,14,3,.271,.313,.370,.683,0.8
2013,BOS,134,577,92,172,31,8,9,53,47,92,52,4,.298,.355,.426,.781,5.8
2014,NYY,149,575,71,156,27,5,16,70,49,93,39,5,.271,.328,.419,.747,3.3
2015,NYY,111,452,66,116,15,2,7,33,35,86,21,9,.257,.318,.345,.663,1.9
2016,NYY,148,551,71,145,24,5,9,56,54,84,20,8,.263,.330,.374,.704,2.8
2017,NYY,112,356,65,94,20,4,7,39,41,63,22,3,.264,.348,.402,.750,1.7
