SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,STL,10,1,0,0,16.0,14,10,10,4,8,8,1,1,0,3,0,-0.2,1.38,5.63
2010,STL,28,28,1,1,163.1,151,64,49,9,64,132,13,8,0,0,0,2.5,1.32,2.70
2011,STL,32,32,2,2,194.2,207,100,77,15,50,156,13,7,0,0,0,0.7,1.32,3.56
2012,STL,20,20,0,0,121.2,136,58,53,7,30,98,7,7,0,0,0,0.6,1.36,3.92
2013,STL,9,9,0,0,55.1,57,26,22,6,15,43,5,2,0,0,0,0.4,1.30,3.58
2014,STL,7,7,0,0,43.2,39,20,20,6,7,39,3,1,0,0,0,0.3,1.05,4.12
2015,STL,20,20,0,0,129.2,106,37,35,6,30,97,10,6,0,0,0,3.9,1.05,2.43
2016,STL,32,30,1,1,171.2,179,94,89,26,57,150,10,13,0,0,0,0.8,1.37,4.67
2017,MIN,1,1,0,0,6.2,8,3,3,0,3,7,1,0,0,0,0,0.1,1.65,4.05
2017,NYY,8,8,0,0,37.1,41,25,20,6,20,37,0,3,0,0,0,-0.1,1.63,4.82
2017,ATL,18,18,0,0,113.0,108,58,54,12,41,85,4,7,0,0,0,1.4,1.32,4.30
2017,Total,27,27,0,0,157.0,157,86,77,18,64,129,5,10,0,0,0,1.4,1.41,4.41
2018,TOR,8,8,0,0,38.2,43,30,27,8,21,38,2,3,0,0,0,-0.5,1.66,6.28
