SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,BAL,18,18,0,0,100.1,106,57,52,9,48,52,6,6,0,0,0,0.6,1.53,4.66
2011,BAL,22,22,0,0,119.1,115,70,67,21,59,93,10,8,0,0,0,0.5,1.46,5.05
2012,BAL,24,18,0,0,114.2,122,82,79,16,35,109,3,9,0,1,0,-1.0,1.37,6.20
2013,BAL,5,5,0,0,23.2,25,19,19,2,17,23,1,2,0,0,0,-0.4,1.77,7.23
2013,CHC,9,9,0,0,51.2,34,22,21,7,24,37,4,2,0,0,0,0.7,1.12,3.66
2013,Total,14,14,0,0,75.1,59,41,40,9,41,60,5,4,0,0,0,0.3,1.33,4.78
2014,CHC,25,25,1,1,156.2,114,46,44,5,41,167,10,5,0,0,0,5.3,0.99,2.53
2015,CHC,33,33,4,3,229.0,150,52,45,10,48,236,22,6,0,0,0,8.6,0.86,1.77
2016,CHC,31,31,1,1,197.1,138,72,68,16,76,190,18,8,0,0,0,3.4,1.08,3.10
2017,CHC,30,30,0,0,168.1,150,82,66,23,55,163,14,10,0,0,0,1.9,1.22,3.53
2018,PHI,9,9,0,0,51.1,42,20,14,2,17,35,4,2,0,0,0,1.3,1.15,2.45
