SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,TB,21,21,1,0,124.2,141,69,67,18,38,104,6,8,0,0,0,1.5,1.44,4.84
2007,TB,31,31,1,0,215.0,202,98,92,28,36,184,12,8,0,0,0,5.2,1.11,3.85
2008,TB,33,33,3,2,215.0,208,94,85,24,40,160,14,8,0,0,0,3.6,1.15,3.56
2009,TB,33,33,0,0,219.2,239,113,101,29,52,167,11,12,0,0,0,1.6,1.32,4.14
2010,TB,34,33,0,0,203.1,246,128,117,34,51,187,13,15,0,0,0,-1.8,1.46,5.18
2011,TB,33,33,11,4,249.1,195,83,78,26,65,225,16,12,0,0,0,4.7,1.04,2.82
2012,TB,33,33,3,2,227.2,208,103,89,25,58,223,15,10,0,0,0,2.2,1.17,3.52
2013,KC,34,34,2,0,228.2,215,82,80,20,68,196,13,9,0,0,0,4.1,1.24,3.15
2014,KC,34,34,1,1,227.0,224,95,81,23,44,180,14,8,0,0,0,3.3,1.18,3.21
2015,SD,33,33,0,0,202.1,189,93,88,33,81,216,13,7,0,0,0,1.8,1.33,3.91
2016,CHW,22,22,1,0,114.1,139,89,86,31,55,78,4,12,0,0,0,-1.9,1.70,6.77
2016,SD,11,11,0,0,67.1,69,33,32,9,27,57,2,7,0,0,0,0.7,1.43,4.28
2016,Total,33,33,1,0,181.2,208,122,118,40,82,135,6,19,0,0,0,-1.1,1.60,5.85
2017,CHW,21,21,0,0,117.0,116,72,68,27,53,103,5,7,0,0,0,0.2,1.44,5.23
2018,CHW,11,10,0,0,62.1,52,32,32,4,27,41,1,4,0,0,0,0.8,1.27,4.62
