SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,TB,9,9,0,0,44.0,61,38,38,7,21,32,0,6,0,0,0,-0.6,1.86,7.77
2007,TB,24,14,0,0,85.0,100,58,58,12,40,64,3,5,0,0,0,0.2,1.65,6.14
2008,TB,40,5,0,0,78.1,83,45,40,11,35,44,4,4,2,1,0,0.0,1.51,4.60
2009,COL,34,30,1,0,176.2,203,94,85,17,42,133,10,8,0,0,0,1.8,1.39,4.33
2010,COL,30,30,0,0,177.2,201,97,95,18,47,141,10,9,0,0,0,1.4,1.40,4.81
2011,COL,32,27,0,0,170.1,175,100,90,21,68,94,7,13,1,0,0,0.4,1.43,4.76
2012,BAL,20,20,1,1,118.0,104,48,45,9,42,113,8,6,0,0,0,2.8,1.24,3.43
2013,BAL,26,23,0,0,139.1,155,81,77,22,48,96,7,8,1,1,0,0.0,1.46,4.97
2014,OAK,13,12,0,0,67.2,66,34,32,13,21,54,2,6,0,0,0,0.0,1.29,4.26
2014,CHC,17,17,0,0,108.2,88,36,36,10,23,104,8,5,0,0,0,3.1,1.02,2.98
2014,Total,30,29,0,0,176.1,154,70,68,23,44,158,10,11,0,0,0,3.2,1.12,3.47
2015,CHC,31,31,0,0,170.2,158,79,71,23,40,172,10,7,0,0,0,1.7,1.16,3.74
2016,CHC,30,30,0,0,166.2,148,77,71,25,53,144,15,10,0,0,0,1.1,1.21,3.83
2017,KC,32,32,0,0,180.1,209,109,106,26,48,145,8,13,0,0,0,1.3,1.43,5.29
2018,KC,10,10,0,0,60.0,71,39,38,7,16,33,1,5,0,0,0,-0.2,1.45,5.70
