SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,FLA,17,13,1,0,73.2,71,34,33,4,31,59,5,5,0,0,0,1.1,1.38,4.03
2006,FLA,12,5,0,0,43.0,50,39,35,9,30,25,1,2,0,0,0,-0.9,1.86,7.33
2007,NYM,2,2,0,0,10.1,17,14,14,4,2,4,0,1,0,0,0,-0.5,1.84,12.19
2009,SEA,23,14,0,0,91.2,98,53,50,16,24,54,3,6,0,0,0,-0.1,1.33,4.91
2010,SEA,31,31,0,0,192.2,187,86,81,18,54,116,9,12,0,0,0,2.3,1.25,3.78
2011,SEA,32,32,4,3,201.0,205,105,95,22,59,131,10,13,0,0,0,0.7,1.31,4.25
2012,SEA,33,33,2,0,217.1,201,94,93,35,55,141,14,11,0,0,0,2.7,1.18,3.85
2013,LAA,24,24,3,2,150.0,162,68,67,17,46,109,9,8,0,0,0,1.8,1.39,4.02
2014,KC,30,30,1,1,187.0,197,82,77,19,41,128,11,10,0,0,0,2.4,1.27,3.71
2015,KC,9,9,0,0,43.0,46,20,19,5,12,27,5,2,0,0,0,0.3,1.35,3.98
2016,KC,3,3,0,0,12.0,8,3,3,1,3,11,0,0,0,0,0,0.5,0.92,2.25
2017,KC,32,32,1,1,179.2,181,84,83,27,58,134,18,11,0,0,0,3.8,1.33,4.16
2018,NYM,4,4,0,0,17.1,28,19,19,5,8,16,1,3,0,0,0,-0.7,2.08,9.87
