YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,CIN,108,413,63,105,17,1,21,52,33,110,4,6,.254,.314,.453,.767,0.6
2009,CIN,101,345,47,77,15,2,22,58,38,75,3,3,.223,.303,.470,.773,1.1
2010,CIN,148,509,80,143,23,5,25,70,58,136,5,4,.281,.353,.493,.846,4.5
2011,CIN,157,585,84,150,27,2,32,97,71,158,8,7,.256,.341,.474,.815,1.8
2012,CIN,155,560,89,141,35,5,34,99,62,155,9,3,.252,.327,.514,.841,1.4
2013,CIN,160,626,89,164,43,1,30,109,63,185,7,3,.262,.329,.478,.807,5.1
2014,CIN,137,493,71,107,21,1,18,66,44,149,12,3,.217,.281,.373,.654,-1.1
2015,CIN,157,580,72,131,35,4,26,87,58,145,9,5,.226,.294,.434,.728,0.8
2016,CIN,97,370,60,98,22,6,25,80,27,83,4,2,.265,.316,.559,.875,0.6
2016,NYM,50,169,14,37,5,0,8,19,17,43,0,0,.219,.294,.391,.685,-0.0
2016,Total,147,539,74,135,27,6,33,99,44,126,4,2,.250,.309,.506,.815,0.6
2017,CLE,43,149,21,37,9,2,7,26,18,37,1,0,.248,.331,.477,.808,0.2
2017,NYM,103,406,61,104,20,0,29,75,39,102,0,1,.256,.321,.520,.841,2.7
2017,Total,146,555,82,141,29,2,36,101,57,139,1,1,.254,.324,.508,.832,2.9
2018,NYM,43,151,12,35,9,1,3,14,15,34,2,1,.232,.301,.364,.665,0.2
