YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,BOS,81,260,34,67,25,3,2,46,35,68,1,0,.258,.339,.400,.739,1.3
2009,BOS,32,68,5,10,2,0,2,11,6,20,0,0,.147,.211,.265,.476,-0.6
2010,BOS,55,171,31,49,14,0,9,24,25,25,1,1,.287,.381,.526,.907,1.5
2011,BOS,88,309,40,78,14,4,6,36,23,60,1,1,.252,.303,.382,.685,0.3
2012,HOU,97,340,43,83,18,0,16,42,43,65,2,0,.244,.331,.438,.769,2.1
2013,OAK,154,603,80,175,45,2,15,75,50,91,1,0,.290,.344,.446,.790,2.3
2014,OAK,136,502,59,125,29,3,6,50,51,79,0,0,.249,.321,.355,.676,0.8
2015,HOU,69,230,35,51,14,0,9,30,28,43,1,0,.222,.312,.400,.712,1.0
2016,OAK,87,338,30,89,12,1,2,27,26,65,0,0,.263,.314,.322,.636,-0.4
2017,OAK,153,567,86,157,49,3,14,69,73,100,0,1,.277,.360,.448,.808,4.0
2018,OAK,49,191,20,60,12,1,9,38,22,41,0,0,.314,.381,.529,.910,2.1
