SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,CHC,26,0,0,0,27.2,24,12,7,0,15,25,1,0,1,3,3,0.5,1.41,2.28
2009,CHC,20,2,0,0,34.2,46,29,29,7,15,21,1,3,0,0,0,-0.6,1.76,7.53
2010,CHC,7,3,0,0,19.1,21,22,18,4,20,9,2,2,0,0,0,-0.8,2.12,8.38
2011,CHC,75,0,0,0,88.0,64,35,29,5,50,87,8,4,0,13,2,1.0,1.30,2.97
2012,CHC,28,28,1,0,174.2,157,79,74,20,56,180,9,13,0,0,0,1.6,1.22,3.81
2013,CHC,33,33,2,1,213.2,210,109,103,25,78,214,8,13,0,0,0,1.0,1.35,4.34
2014,OAK,16,16,2,0,111.2,92,42,39,13,12,99,5,6,0,0,0,1.7,0.93,3.14
2014,CHC,17,17,0,0,108.0,99,44,34,7,31,103,2,7,0,0,0,2.0,1.20,2.83
2014,Total,33,33,2,0,219.2,191,86,73,20,43,202,7,13,0,0,0,3.8,1.07,2.99
2015,CHW,32,32,2,2,214.0,228,122,118,29,49,163,11,13,0,0,0,0.2,1.29,4.96
2016,SF,32,32,1,0,203.1,190,88,86,24,54,167,12,11,0,0,0,2.7,1.20,3.81
2017,SF,32,32,1,1,207.2,204,107,102,30,32,205,9,15,0,0,0,2.4,1.14,4.42
2018,SF,7,7,0,0,34.2,34,25,24,6,23,25,1,3,0,0,0,-0.5,1.64,6.23
