SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,MIL,10,0,0,0,10.0,8,4,3,0,6,8,1,0,0,0,0,0.1,1.40,2.70
2011,KC,14,0,0,0,15.1,12,8,8,1,11,13,1,1,1,0,1,0.0,1.50,4.70
2012,KC,13,0,0,0,13.1,19,14,10,0,13,13,0,0,0,0,0,-0.6,2.40,6.75
2013,TOR,10,0,0,0,10.1,8,1,1,1,5,12,1,0,0,0,0,0.5,1.26,0.87
2014,MIL,29,0,0,0,28.2,27,6,6,1,7,25,1,1,0,6,1,0.9,1.19,1.88
2014,TOR,3,0,0,0,3.1,8,4,4,0,3,4,0,0,0,0,0,-0.1,3.30,10.80
2014,Total,32,0,0,0,32.0,35,10,10,1,10,29,1,1,0,6,1,0.8,1.41,2.81
2015,MIL,72,0,0,0,68.0,64,22,20,5,22,67,5,0,0,24,5,1.5,1.26,2.65
2016,MIL,47,0,0,0,44.2,45,13,11,2,11,35,2,2,27,0,1,1.4,1.25,2.22
2016,TEX,12,0,0,0,13.1,10,4,4,0,7,7,1,0,0,6,0,0.4,1.28,2.70
2016,Total,59,0,0,0,58.0,55,17,15,2,18,42,3,2,27,6,1,1.8,1.26,2.33
2017,MIL,22,1,0,0,24.2,24,10,10,2,15,22,4,0,0,4,1,0.4,1.58,3.65
2017,TEX,39,0,0,0,40.2,49,25,24,8,19,29,1,2,0,4,0,0.0,1.67,5.31
2017,Total,61,1,0,0,65.1,73,35,34,10,34,51,5,2,0,8,1,0.4,1.64,4.68
2018,MIL,25,0,0,0,25.2,10,1,1,0,8,24,3,0,3,6,1,1.6,0.70,0.35
