SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,OAK,6,0,0,0,4.2,8,6,5,1,2,3,0,1,0,0,0,-0.2,2.14,9.64
2008,OAK,36,0,0,0,37.2,32,14,13,2,13,35,1,3,0,5,1,0.5,1.19,3.11
2009,OAK,20,0,0,0,22.1,19,12,12,2,6,23,0,0,0,0,0,0.1,1.12,4.84
2010,OAK,63,0,0,0,48.2,54,20,20,7,18,46,2,1,1,11,1,0.4,1.48,3.70
2011,OAK,26,0,0,0,28.1,24,14,9,2,14,26,0,0,0,0,0,0.1,1.34,2.86
2012,OAK,63,0,0,0,65.1,45,20,18,7,25,54,5,1,1,14,0,1.4,1.07,2.48
2013,OAK,67,0,0,0,60.0,47,23,21,7,17,52,5,0,0,4,4,0.8,1.07,3.15
2014,WSH,64,0,0,0,57.1,48,31,31,3,23,66,2,3,0,9,0,-0.4,1.24,4.87
2015,NYM,7,0,0,0,5.0,0,0,0,0,0,4,1,0,0,5,1,0.4,0.00,0.00
2016,NYM,73,0,0,0,42.0,36,14,13,4,15,52,4,2,2,16,1,1.1,1.21,2.79
2017,NYM,75,0,0,0,49.0,43,16,16,4,24,69,6,0,1,19,7,1.5,1.37,2.94
2018,NYM,20,0,0,0,8.1,7,5,5,0,6,6,1,0,0,4,0,-0.0,1.56,5.40
