SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,PIT,15,0,0,0,15.0,20,11,11,2,9,16,0,1,0,0,2,-0.3,1.93,6.60
2009,PIT,73,0,0,0,67.1,69,33,30,11,22,47,1,4,0,15,4,0.0,1.35,4.01
2010,KC,23,0,0,0,26.0,29,20,17,5,11,16,2,3,0,6,1,-0.5,1.54,5.88
2010,ATL,28,0,0,0,36.2,40,24,24,6,12,29,3,2,0,0,0,-0.4,1.42,5.89
2010,Total,51,0,0,0,62.2,69,44,41,11,23,45,5,5,0,6,1,-0.9,1.47,5.89
2011,KC,4,0,0,0,7.2,12,9,9,3,5,8,0,0,0,0,0,-0.3,2.22,10.57
2012,OAK,4,0,0,0,3.1,9,7,7,1,1,3,0,0,0,0,0,-0.3,3.00,18.90
2012,TOR,9,2,0,0,21.1,25,22,20,6,10,27,1,1,0,0,0,-0.9,1.64,8.44
2012,Total,13,2,0,0,24.2,34,29,27,7,11,30,1,1,0,0,0,-1.2,1.82,9.85
2013,OAK,35,0,0,0,57.1,50,27,25,3,20,55,2,4,1,1,1,0.2,1.22,3.92
2014,OAK,32,21,0,0,146.0,142,64,56,17,49,136,8,8,0,0,0,1.2,1.31,3.45
2015,OAK,30,26,0,0,157.0,164,78,73,18,48,136,7,15,1,0,0,1.6,1.35,4.18
2016,TOR,39,0,0,0,41.1,43,22,21,9,10,42,1,2,0,7,2,-0.1,1.28,4.57
2016,LAD,23,0,0,0,25.2,28,14,12,3,8,21,1,0,0,3,1,-0.1,1.40,4.21
2016,Total,62,0,0,0,67.0,71,36,33,12,18,63,2,2,0,10,3,-0.2,1.33,4.43
2017,LAA,38,21,0,0,138.0,148,83,82,28,45,119,7,11,0,1,1,-0.1,1.40,5.35
2018,TEX,15,0,0,0,29.0,35,15,15,6,6,30,2,0,0,0,0,0.3,1.41,4.66
