SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,COL,9,1,0,0,11.0,6,6,6,1,11,13,0,1,0,0,0,0.0,1.55,4.91
2010,COL,28,21,0,0,137.1,114,64,50,10,61,138,9,11,0,0,0,2.4,1.27,3.28
2011,COL,31,31,2,1,194.0,168,87,78,20,87,150,11,14,0,0,0,3.6,1.31,3.62
2012,COL,14,14,0,0,69.0,80,35,34,10,32,45,3,5,0,0,0,1.9,1.62,4.43
2013,COL,31,31,0,0,197.1,188,82,76,11,61,126,14,10,0,0,0,5.9,1.26,3.47
2014,COL,11,11,0,0,63.1,63,38,38,8,28,42,1,7,0,0,0,0.1,1.44,5.40
2015,ARI,5,4,0,0,26.2,24,11,10,4,10,21,2,1,0,0,0,0.4,1.28,3.38
2016,LAA,29,17,1,0,117.1,124,64,61,10,47,92,5,6,0,0,0,0.2,1.46,4.68
2016,ATL,5,5,0,0,26.2,29,17,16,4,8,27,1,2,0,0,0,-0.0,1.39,5.40
2016,Total,34,22,1,0,144.0,153,81,77,14,55,119,6,8,0,0,0,0.2,1.44,4.81
2017,SD,32,32,0,0,180.1,157,82,78,19,72,153,13,10,0,0,0,2.4,1.27,3.89
2018,MIL,11,11,0,0,57.0,48,24,21,5,27,42,3,1,0,0,0,0.4,1.32,3.32
