SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,BAL,1,1,0,0,3.0,9,8,8,1,3,0,0,1,0,0,0,-0.3,4.00,24.00
2007,BAL,1,0,0,0,2.0,3,2,2,0,2,1,0,0,0,0,0,0.0,2.50,9.00
2008,BAL,54,0,0,0,68.2,54,18,17,0,28,38,2,4,1,19,0,2.2,1.19,2.23
2009,BAL,64,0,0,0,70.0,73,32,32,8,23,49,4,6,10,14,6,1.1,1.37,4.11
2010,BAL,26,0,0,0,26.1,32,11,10,2,5,22,1,1,1,11,5,0.6,1.41,3.42
2011,BAL,69,0,0,0,91.0,80,30,27,5,21,58,6,5,9,18,5,2.5,1.11,2.67
2012,BAL,71,0,0,0,68.2,55,21,19,3,15,41,2,1,51,0,3,2.3,1.02,2.49
2013,BAL,74,0,0,0,70.1,72,26,23,5,18,56,3,8,50,0,9,1.5,1.28,2.94
2014,DET,16,0,0,0,13.0,9,13,10,0,12,14,1,0,0,0,0,-0.4,1.62,6.92
2014,OAK,38,0,0,0,40.1,60,33,32,5,23,28,4,2,2,2,1,-1.3,2.06,7.14
2014,Total,54,0,0,0,53.1,69,46,42,5,35,42,5,2,2,2,1,-1.7,1.95,7.09
2015,ATL,49,0,0,0,48.0,45,14,12,2,14,33,2,3,9,20,4,1.4,1.23,2.25
2015,LAD,23,0,0,0,18.2,32,22,21,3,6,17,0,3,1,5,3,-1.6,2.04,10.13
2015,Total,72,0,0,0,66.2,77,36,33,5,20,50,2,6,10,25,7,-0.1,1.46,4.46
2016,ATL,65,0,0,0,64.2,57,23,22,3,20,68,2,6,20,8,3,1.5,1.19,3.06
2017,ATL,61,0,0,0,56.2,59,39,35,8,25,61,6,3,22,1,9,-1.0,1.48,5.56
2018,LAA,25,0,0,0,26.0,25,14,11,2,9,23,2,1,1,3,2,-0.2,1.31,3.81
