SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,KC,62,0,0,0,69.0,46,20,19,3,19,75,2,3,17,9,4,2.3,0.94,2.48
2008,KC,63,0,0,0,67.1,39,13,12,5,19,66,2,3,42,0,3,3.6,0.86,1.60
2009,KC,47,0,0,0,53.0,44,14,13,5,16,69,3,2,30,0,3,2.6,1.13,2.21
2010,KC,66,0,0,0,65.2,53,13,13,4,16,71,1,2,43,0,3,3.6,1.05,1.78
2011,KC,60,0,0,0,60.1,60,29,27,7,17,60,5,5,28,0,7,0.2,1.28,4.03
2013,TEX,26,0,0,0,23.2,18,10,10,2,14,28,1,0,0,6,0,0.2,1.35,3.80
2014,DET,13,0,0,0,11.0,13,7,6,2,2,6,1,1,1,1,0,-0.1,1.36,4.91
2014,TEX,35,0,0,0,33.1,25,12,10,0,4,42,1,3,17,0,2,0.6,0.87,2.70
2014,Total,48,0,0,0,44.1,38,19,16,2,6,48,2,4,18,1,2,0.5,0.99,3.25
2015,DET,43,0,0,0,41.0,32,13,13,8,11,36,3,1,23,0,3,1.0,1.05,2.85
2015,PIT,29,0,0,0,26.2,23,7,6,0,8,28,0,0,1,11,3,0.7,1.16,2.03
2015,Total,72,0,0,0,67.2,55,20,19,8,19,64,3,1,24,11,6,1.7,1.09,2.53
2016,KC,70,0,0,0,66.2,70,31,30,10,27,68,5,8,1,21,7,0.5,1.46,4.05
2017,KC,59,0,0,0,56.0,49,24,23,1,20,64,4,3,1,20,7,1.1,1.23,3.70
2018,CHW,17,0,0,0,16.1,22,10,9,2,3,20,0,2,4,0,2,-0.1,1.53,4.96
