SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2001,TEX,1,1,0,0,5.0,8,6,6,3,3,4,0,0,0,--,--,-0.2,2.20,10.80
2002,TEX,17,13,0,0,84.2,91,51,50,6,58,59,4,5,1,0,0,0.7,1.76,5.31
2003,TEX,25,17,0,0,105.0,99,67,64,23,51,87,8,5,0,0,0,0.1,1.43,5.49
2004,TEX,28,15,0,0,103.0,113,67,65,19,31,95,3,5,0,0,0,0.7,1.40,5.68
2005,TEX,32,9,0,0,87.0,69,39,36,9,38,78,4,4,0,5,0,1.9,1.23,3.72
2006,TEX,56,0,0,0,79.2,68,49,43,5,38,85,1,1,0,7,2,-0.3,1.33,4.86
2007,TEX,70,0,0,0,82.0,68,28,26,6,28,87,7,4,6,19,7,2.3,1.17,2.85
2008,TEX,44,0,0,0,45.0,40,28,25,6,35,43,3,2,1,13,3,-0.3,1.67,5.00
2010,TB,63,0,0,0,60.1,30,10,9,6,11,75,1,2,1,25,3,2.2,0.68,1.34
2011,DET,66,0,0,0,61.0,47,22,20,5,17,63,4,3,2,29,5,1.0,1.05,2.95
2012,DET,73,0,0,0,71.0,59,31,29,14,22,84,5,3,2,30,4,1.0,1.14,3.68
2013,DET,66,0,0,0,67.0,47,15,15,5,22,73,4,1,24,9,2,2.8,1.03,2.01
2014,SD,53,0,0,0,54.1,28,10,9,3,14,64,4,2,11,16,1,1.8,0.77,1.49
2015,SD,67,0,0,0,65.1,36,17,17,7,23,63,6,5,2,28,4,1.8,0.90,2.34
2016,SEA,26,0,0,0,24.1,20,16,14,4,15,28,1,1,0,8,2,-0.4,1.44,5.18
2016,TOR,25,0,0,0,23.2,17,1,1,1,9,24,2,0,1,10,1,1.4,1.10,0.38
2016,Total,51,0,0,0,48.0,37,17,15,5,24,52,3,1,1,18,3,1.0,1.27,2.81
2017,PHI,44,0,0,0,42.0,32,19,19,5,16,43,1,4,2,13,3,0.6,1.14,4.07
2017,PIT,8,0,0,0,8.1,11,9,7,2,6,3,0,2,0,0,1,-0.6,2.04,7.56
2017,Total,52,0,0,0,50.1,43,28,26,7,22,46,1,6,2,13,4,0.0,1.29,4.65
