YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2004,MIN,35,107,18,33,8,1,6,17,11,14,1,0,.308,.369,.570,.939,1.4
2005,MIN,131,489,61,144,26,2,9,55,61,64,13,1,.294,.372,.411,.783,2.5
2006,MIN,140,521,86,181,36,4,13,84,79,54,8,3,.347,.429,.507,.936,5.6
2007,MIN,109,406,62,119,27,3,7,60,57,51,7,1,.293,.382,.426,.808,3.6
2008,MIN,146,536,98,176,31,4,9,85,84,50,1,1,.328,.413,.451,.864,5.3
2009,MIN,138,523,94,191,30,1,28,96,76,63,4,1,.365,.444,.587,1.031,7.6
2010,MIN,137,510,88,167,43,1,9,75,65,53,1,4,.327,.402,.469,.871,5.5
2011,MIN,82,296,38,85,15,0,3,30,32,38,0,0,.287,.360,.368,.728,1.4
2012,MIN,147,545,81,174,31,4,10,85,90,88,8,4,.319,.416,.446,.862,4.1
2013,MIN,113,445,62,144,35,0,11,47,61,89,0,1,.324,.404,.476,.880,5.4
2014,MIN,120,455,60,126,27,2,4,55,60,96,3,0,.277,.361,.371,.732,2.1
2015,MIN,158,592,69,157,34,2,10,66,67,112,2,1,.265,.338,.380,.718,1.5
2016,MIN,134,494,68,129,22,4,11,49,79,93,2,0,.261,.363,.389,.752,2.2
2017,MIN,141,525,69,160,36,1,7,71,66,83,2,1,.305,.384,.417,.801,3.4
2018,MIN,38,138,18,39,7,0,1,11,28,22,0,0,.283,.404,.355,.759,1.0
