SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,NYM,54,0,0,0,44.1,48,18,17,3,21,45,3,2,0,10,0,0.6,1.56,3.45
2008,NYM,82,0,0,0,63.1,51,28,25,4,31,52,6,3,0,18,3,0.6,1.29,3.55
2009,CLE,37,0,0,0,34.0,30,16,13,4,13,30,0,0,0,10,1,0.3,1.26,3.44
2010,CLE,53,0,0,0,40.0,30,18,17,4,24,32,2,2,0,17,1,0.4,1.35,3.83
2011,CLE,71,0,0,0,67.0,52,16,15,1,21,45,3,3,0,16,3,2.2,1.09,2.01
2012,CLE,72,0,0,0,67.0,53,27,22,4,25,53,7,4,0,21,3,0.9,1.16,2.96
2013,CLE,70,0,0,0,63.0,54,17,16,5,23,54,6,2,3,25,5,1.8,1.22,2.29
2014,LAA,76,0,0,0,74.2,45,16,15,4,15,68,7,2,15,18,4,2.6,0.80,1.81
2015,LAA,70,0,0,0,65.1,64,26,26,4,19,57,5,5,5,32,4,0.5,1.27,3.58
2016,LAA,38,0,0,0,37.2,36,16,16,4,13,25,1,4,6,6,3,0.3,1.30,3.82
2016,CHC,16,0,0,0,14.1,11,4,4,4,5,15,1,1,0,1,0,0.2,1.12,2.51
2016,Total,54,0,0,0,52.0,47,20,20,8,18,40,2,5,6,7,3,0.5,1.25,3.46
2017,CLE,21,0,0,0,18.1,16,7,7,1,0,20,0,0,1,9,0,0.3,0.87,3.44
2017,TOR,38,0,0,0,35.2,30,13,13,3,10,51,3,0,0,13,1,0.9,1.12,3.28
2017,Total,59,0,0,0,54.0,46,20,20,4,10,71,3,0,1,22,1,1.2,1.04,3.33
2018,HOU,17,0,0,0,14.0,14,11,11,3,5,13,1,1,0,2,1,-0.4,1.36,7.07
