YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,CIN,24,84,11,27,7,0,4,17,5,15,1,0,.321,.360,.548,.908,0.0
2008,CIN,151,526,69,156,32,3,24,84,59,102,7,5,.297,.368,.506,.874,3.1
2009,CIN,131,469,82,151,38,1,25,84,70,106,4,1,.322,.414,.567,.981,4.6
2010,CIN,150,547,106,177,36,2,37,113,91,125,16,5,.324,.424,.600,1.024,6.7
2011,CIN,161,599,101,185,40,3,29,103,110,129,8,6,.309,.416,.531,.947,6.2
2012,CIN,111,374,59,126,44,0,14,56,94,85,5,3,.337,.474,.567,1.041,5.6
2013,CIN,162,581,101,177,30,3,24,73,135,138,6,3,.305,.435,.491,.926,6.4
2014,CIN,62,220,32,56,16,0,6,23,47,49,1,1,.255,.390,.409,.799,1.9
2015,CIN,158,545,95,171,33,2,29,80,143,135,11,3,.314,.459,.541,1.000,7.6
2016,CIN,158,556,101,181,34,2,29,97,108,120,8,1,.326,.434,.550,.984,4.0
2017,CIN,162,559,106,179,34,1,36,100,134,83,5,1,.320,.454,.578,1.032,7.5
2018,CIN,50,175,23,48,7,0,6,24,33,33,1,0,.274,.399,.417,.816,1.4
