SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,MIL,7,0,0,0,7.2,5,3,3,0,6,9,0,0,1,0,0,0.1,1.43,3.52
2010,MIL,50,0,0,0,58.0,42,17,16,1,27,76,8,2,24,3,3,1.5,1.19,2.48
2011,MIL,74,0,0,0,73.2,59,19,16,4,25,86,2,2,46,0,2,2.3,1.14,1.95
2012,MIL,75,0,0,0,69.1,61,42,36,10,39,93,5,8,35,3,9,-1.2,1.44,4.67
2013,MIL,62,0,0,0,54.2,62,29,27,10,23,54,6,7,0,19,6,-0.4,1.55,4.45
2013,STL,13,0,0,0,10.1,11,3,2,0,3,11,1,0,0,0,1,0.3,1.35,1.74
2013,Total,75,0,0,0,65.0,73,32,29,10,26,65,7,7,0,19,7,-0.1,1.52,4.02
2014,CLE,49,0,0,0,43.2,34,21,19,6,30,51,2,3,10,2,3,0.1,1.47,3.92
2014,PIT,13,0,0,0,11.0,9,5,5,0,6,12,0,1,0,0,0,0.0,1.36,4.09
2014,Total,62,0,0,0,54.2,43,26,24,6,36,63,2,4,10,2,3,0.1,1.45,3.95
2015,COL,60,0,0,0,55.2,56,27,26,4,32,62,4,5,25,2,6,0.8,1.58,4.20
2016,OAK,68,0,0,0,65.2,65,30,29,6,30,60,6,4,3,15,7,0.8,1.45,3.97
2017,OAK,22,0,0,0,21.0,27,16,15,3,17,21,0,1,0,1,1,-0.2,2.10,6.43
2018,TOR,22,0,0,0,23.0,24,10,10,1,8,22,0,0,0,1,0,0.3,1.39,3.91
