SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,CIN,31,31,0,0,174.0,178,101,93,29,68,158,9,14,0,0,0,1.2,1.41,4.81
2009,CIN,30,30,0,0,171.1,172,90,84,24,61,132,11,11,0,0,0,0.7,1.36,4.41
2010,CIN,31,31,1,1,185.2,181,79,75,19,56,138,12,7,0,0,0,2.2,1.28,3.64
2011,CIN,24,24,3,1,156.0,123,51,40,8,47,104,9,5,0,0,0,3.5,1.09,2.31
2012,CIN,33,33,2,0,217.0,205,73,67,15,49,170,19,9,0,0,0,5.8,1.17,2.78
2013,CIN,11,11,0,0,60.2,46,20,19,7,18,51,5,2,0,0,0,1.4,1.05,2.82
2014,CIN,34,34,4,2,243.2,169,69,61,22,65,242,20,9,0,0,0,6.4,0.96,2.25
2015,KC,13,13,1,1,81.1,101,45,43,10,17,56,4,7,0,0,0,0.2,1.45,4.76
2015,CIN,19,19,1,1,130.2,93,42,38,11,29,120,7,6,0,0,0,3.7,0.93,2.62
2015,Total,32,32,2,2,212.0,194,87,81,21,46,176,11,13,0,0,0,3.9,1.13,3.44
2016,SF,32,32,5,2,219.2,195,71,68,15,45,198,18,5,0,0,0,5.6,1.09,2.79
2017,SF,25,25,0,0,147.1,160,77,74,22,53,136,8,8,0,0,0,1.7,1.45,4.52
2018,SF,5,5,0,0,32.0,16,3,3,1,6,26,3,0,0,0,0,2.0,0.69,0.84
