SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,BOS,15,15,0,0,81.1,91,43,43,7,43,60,7,2,0,0,0,1.5,1.65,4.76
2007,BOS,12,11,0,0,63.0,61,33,32,10,31,50,4,0,0,0,0,0.8,1.46,4.57
2008,BOS,33,33,2,2,210.1,202,78,75,14,66,152,16,6,0,0,0,5.8,1.27,3.21
2009,BOS,32,32,2,0,203.1,186,80,77,20,64,225,15,8,0,0,0,5.9,1.23,3.41
2010,BOS,32,32,2,0,208.0,167,81,75,14,83,225,19,9,0,0,0,4.9,1.20,3.25
2011,BOS,31,31,0,0,191.2,166,77,74,20,75,182,15,9,0,0,0,4.1,1.26,3.47
2012,BOS,33,33,3,0,205.1,216,117,110,25,68,166,9,14,0,0,0,0.4,1.38,4.82
2013,BOS,33,33,1,1,213.1,209,94,89,19,67,177,15,8,0,0,0,3.0,1.29,3.75
2014,BOS,21,21,0,0,143.0,128,52,40,9,32,149,10,7,0,0,0,2.7,1.12,2.52
2014,OAK,11,11,1,1,76.2,66,24,20,7,16,71,6,4,0,0,0,1.9,1.07,2.35
2014,Total,32,32,1,1,219.2,194,76,60,16,48,220,16,11,0,0,0,4.6,1.10,2.46
2015,CHC,32,32,1,0,205.0,183,83,76,16,47,207,11,12,0,0,0,2.9,1.12,3.34
2016,CHC,32,32,2,0,202.2,154,57,55,21,52,197,19,5,0,0,0,5.3,1.02,2.44
2017,CHC,32,32,1,0,180.2,179,101,87,26,60,180,13,8,0,0,0,0.7,1.32,4.33
2018,CHC,10,10,0,0,57.0,46,19,15,6,22,48,4,2,0,0,0,1.3,1.19,2.37
