SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,HOU,20,15,0,0,94.0,107,61,56,14,26,67,2,8,0,0,0,-1.1,1.41,5.36
2012,HOU,25,25,1,1,141.1,159,97,80,20,42,99,5,12,0,0,0,-0.9,1.42,5.09
2013,HOU,27,25,0,0,141.2,165,98,88,17,49,93,7,9,1,1,0,-1.2,1.51,5.59
2014,COL,22,22,0,0,126.2,127,64,61,12,46,90,7,4,0,0,0,1.1,1.37,4.33
2015,COL,10,10,0,0,49.0,54,32,28,2,19,30,2,5,0,0,0,0.3,1.49,5.14
2016,COL,40,5,0,0,58.2,69,46,38,4,28,32,4,5,1,3,3,-0.8,1.65,5.83
2017,SD,5,5,0,0,23.0,35,24,24,5,10,22,1,3,0,0,0,-0.8,1.96,9.39
2017,COL,33,0,0,0,46.2,61,37,36,11,12,33,0,2,0,2,0,-0.5,1.56,6.94
2017,Total,38,5,0,0,69.2,96,61,60,16,22,55,1,5,0,2,0,-1.3,1.69,7.75
2018,SD,16,3,0,0,37.2,27,14,13,5,11,36,1,1,0,2,0,0.3,1.01,3.11
