SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,WAS,16,16,0,0,91.1,95,51,47,10,29,92,3,5,0,0,0,0.6,1.36,4.63
2010,WSH,7,7,0,0,31.0,31,20,17,8,10,27,1,2,0,0,0,-0.2,1.32,4.94
2011,WSH,26,26,1,0,161.1,154,62,57,12,31,124,8,11,0,0,0,2.8,1.15,3.18
2012,WSH,32,32,0,0,195.2,186,69,64,18,43,153,12,8,0,0,0,4.4,1.17,2.94
2013,WSH,32,32,4,2,213.1,192,81,77,19,40,161,19,9,0,0,0,3.7,1.09,3.25
2014,WSH,32,32,3,2,199.2,185,67,59,13,29,182,14,5,0,0,0,4.9,1.07,2.66
2015,WSH,33,33,0,0,201.2,204,89,82,24,39,164,13,10,0,0,0,3.4,1.20,3.66
2016,DET,19,18,0,0,105.1,118,63,57,14,26,66,9,7,0,0,0,0.2,1.37,4.87
2017,DET,29,29,0,0,160.0,204,111,108,29,44,103,8,13,0,0,0,0.3,1.55,6.08
2018,DET,7,7,0,0,31.1,32,20,17,5,9,32,2,0,0,0,0,-0.0,1.31,4.88
