SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2004,MIL,5,5,0,0,22.2,29,20,16,1,14,5,0,3,0,0,0,-0.5,1.90,6.35
2005,MIL,38,0,0,0,42.1,48,23,21,1,38,42,2,2,0,5,2,0.0,2.03,4.46
2006,KC,10,10,0,0,48.2,49,29,28,10,32,36,3,4,0,0,0,0.4,1.66,5.18
2006,MIL,18,3,0,0,30.1,32,30,29,4,22,31,2,2,0,1,0,-1.1,1.78,8.60
2006,Total,28,13,0,0,79.0,81,59,57,14,54,67,5,6,0,1,0,-0.7,1.71,6.49
2007,KC,26,23,0,0,130.0,160,88,84,20,53,82,8,12,0,0,0,-0.5,1.64,5.82
2008,COL,28,23,0,0,130.0,128,77,71,13,62,128,10,8,0,0,0,0.9,1.46,4.92
2009,COL,33,32,0,0,185.0,172,95,90,20,83,193,16,9,0,0,0,2.4,1.38,4.38
2010,COL,20,20,0,0,121.2,105,62,57,15,55,113,8,7,0,0,0,1.5,1.32,4.22
2011,COL,10,10,1,0,59.0,48,25,23,4,22,52,5,2,0,0,0,1.0,1.19,3.51
2012,COL,3,3,0,0,10.2,17,14,11,5,2,6,0,2,0,0,0,-0.6,1.78,9.28
2013,COL,30,30,0,0,167.2,170,70,65,11,62,112,16,6,0,0,0,4.3,1.38,3.49
2014,COL,32,32,0,0,184.1,161,90,84,21,67,139,14,11,0,0,0,2.4,1.24,4.10
2015,COL,26,26,1,0,149.0,137,73,69,17,65,134,9,7,0,0,0,2.8,1.36,4.17
2016,COL,27,24,0,0,134.0,157,93,82,23,63,108,8,9,0,0,0,0.0,1.64,5.51
2017,ARI,65,0,0,0,51.1,46,24,24,7,21,45,3,1,0,17,1,0.7,1.31,4.21
2018,ARI,24,0,0,0,17.0,11,7,7,2,8,10,0,2,0,6,1,0.1,1.12,3.71
