YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,BOS,27,59,5,10,4,0,2,4,2,17,0,0,.169,.210,.339,.549,-0.3
2010,BOS,29,62,5,12,3,1,1,5,1,15,1,0,.194,.206,.323,.529,-0.1
2011,BOS,87,254,41,71,18,3,7,28,19,50,1,2,.280,.327,.457,.784,1.8
2012,OAK,156,611,85,148,29,5,32,85,55,151,11,1,.242,.305,.463,.768,4.5
2013,OAK,114,385,54,87,19,2,12,56,46,86,9,2,.226,.307,.379,.686,2.6
2014,OAK,109,363,53,96,16,7,12,54,28,63,1,1,.264,.316,.446,.762,3.5
2015,OAK,149,526,67,143,25,4,20,77,49,65,10,2,.272,.333,.449,.782,3.5
2016,OAK,68,243,33,72,11,1,8,28,28,34,5,0,.296,.368,.449,.817,2.4
2016,LAD,47,155,20,40,6,0,2,9,11,22,3,3,.258,.307,.335,.642,0.2
2016,Total,115,398,53,112,17,1,10,37,39,56,8,3,.281,.345,.405,.750,2.6
2017,HOU,134,477,77,150,34,4,13,82,43,72,7,3,.314,.363,.484,.847,4.4
2018,HOU,42,132,26,30,6,0,6,18,21,31,1,1,.227,.331,.409,.740,1.2
