SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,COL,13,13,0,0,71.2,73,35,33,8,18,58,4,4,0,0,0,1.0,1.27,4.14
2012,COL,11,11,0,0,58.0,72,37,34,7,22,54,2,3,0,0,0,0.5,1.62,5.28
2013,COL,31,31,0,0,157.2,168,97,90,17,64,119,9,9,0,0,0,0.2,1.47,5.14
2014,COL,33,14,0,0,93.2,107,59,56,19,31,63,6,6,0,1,0,-0.5,1.47,5.38
2015,LAD,53,1,0,0,58.1,59,25,25,1,32,65,1,3,1,14,2,0.3,1.56,3.86
2016,PIT,52,12,0,0,118.0,117,64,59,15,45,138,10,7,0,7,2,0.5,1.37,4.50
2017,PHI,2,0,0,0,1.1,0,0,0,0,0,1,1,0,0,0,0,0.1,0.00,0.00
2017,PIT,65,0,0,0,60.0,49,20,19,4,18,60,2,5,2,22,4,1.5,1.12,2.85
2017,STL,9,0,0,0,11.0,9,2,2,1,2,11,2,0,4,0,0,0.4,1.00,1.64
2017,Total,76,0,0,0,72.1,58,22,21,5,20,72,5,5,6,22,4,2.0,1.08,2.61
2018,SEA,24,0,0,0,22.2,28,14,14,4,2,23,1,2,0,14,2,-0.3,1.32,5.56
