YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,SEA,30,113,11,27,4,0,5,14,8,34,0,0,.239,.287,.407,.694,-0.2
2010,TEX,70,235,29,49,10,0,8,34,38,57,1,0,.209,.316,.353,.669,-0.5
2010,Total,100,348,40,76,14,0,13,48,46,91,1,0,.218,.307,.371,.678,-0.7
2011,SEA,123,427,38,100,24,0,15,55,55,105,0,0,.234,.323,.396,.719,0.6
2012,SEA,132,483,49,105,14,0,19,51,49,111,1,0,.217,.290,.364,.654,-0.5
2013,SEA,131,454,53,108,19,0,20,50,64,119,0,0,.238,.334,.412,.746,1.1
2014,SEA,80,248,28,50,13,0,7,30,24,66,0,1,.202,.275,.339,.614,-0.6
2015,TOR,132,296,44,67,16,1,18,59,29,86,0,0,.226,.299,.470,.769,1.3
2016,TOR,126,299,33,65,10,0,14,34,40,112,1,0,.217,.314,.391,.705,-0.4
2017,TOR,158,560,85,151,29,1,38,90,73,128,0,1,.270,.355,.529,.884,3.2
2018,TOR,44,161,25,40,11,0,6,26,30,46,0,0,.248,.372,.429,.801,0.9
