YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,BAL,12,18,2,3,0,0,0,3,4,3,0,0,.167,.318,.167,.485,0.2
2010,BAL,5,9,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,-0.4
2010,NYM,4,8,1,1,1,0,0,0,1,0,0,0,.125,.222,.250,.472,-0.2
2010,Total,9,17,1,1,1,0,0,0,1,3,0,0,.059,.111,.118,.229,-0.6
2011,NYM,117,435,49,113,30,0,4,51,39,59,7,2,.260,.334,.356,.690,-0.1
2012,NYM,94,171,20,46,13,1,2,19,9,24,1,1,.269,.319,.392,.711,0.2
2013,NYM,86,200,12,56,13,1,2,16,11,34,0,1,.280,.319,.385,.704,0.9
2014,LAD,109,288,46,98,21,1,7,43,28,58,6,1,.340,.404,.493,.897,4.3
2015,LAD,126,385,55,113,26,1,16,60,36,71,5,2,.294,.370,.491,.861,3.9
2016,LAD,151,556,79,153,34,3,27,90,48,107,4,1,.275,.339,.493,.832,5.0
2017,LAD,130,457,72,147,32,0,21,71,59,56,7,1,.322,.415,.530,.945,5.7
2018,LAD,9,33,4,10,3,0,0,5,1,3,0,0,.303,.343,.394,.737,0.0
