YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,ARI,43,140,17,31,8,3,2,11,11,37,2,0,.221,.283,.364,.647,-0.6
2008,ARI,108,356,52,89,19,6,15,42,54,121,1,4,.250,.353,.463,.816,0.7
2009,ARI,138,526,84,158,30,7,26,86,55,137,20,5,.300,.366,.532,.898,3.8
2010,ARI,133,495,73,135,27,3,17,69,64,152,18,8,.273,.356,.442,.798,1.4
2011,ARI,159,592,105,171,39,5,31,88,59,126,21,9,.289,.369,.529,.898,5.7
2012,ARI,150,554,107,155,24,4,17,67,63,121,18,8,.280,.355,.430,.785,2.1
2013,ATL,149,558,94,147,27,2,27,70,75,161,8,1,.263,.354,.464,.818,2.6
2014,ATL,154,566,77,153,34,2,29,102,60,171,8,4,.270,.342,.491,.833,3.3
2015,SD,150,542,85,136,26,3,26,81,68,159,19,5,.251,.336,.454,.790,4.4
2016,DET,153,570,81,140,28,2,31,87,50,179,9,4,.246,.310,.465,.775,2.0
2017,LAA,27,98,19,24,7,0,7,15,17,33,4,0,.245,.357,.531,.888,0.5
2017,DET,125,459,81,128,37,0,28,94,57,147,10,5,.279,.362,.542,.904,5.2
2017,Total,152,557,100,152,44,0,35,109,74,180,14,5,.273,.361,.540,.901,5.6
2018,LAA,49,192,31,48,7,0,11,35,18,57,3,0,.250,.315,.458,.773,1.3
