SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,DET,2,2,0,0,11.1,15,9,9,1,5,7,0,2,0,0,0,-0.2,1.76,7.15
2006,DET,30,30,1,1,186.0,187,78,75,21,60,124,17,9,0,0,0,3.8,1.33,3.63
2007,DET,32,32,1,1,201.2,181,88,82,20,67,183,18,6,0,0,0,3.9,1.23,3.66
2008,DET,33,33,1,0,201.0,195,119,108,18,87,163,11,17,0,0,0,1.5,1.40,4.84
2009,DET,35,35,3,1,240.0,219,99,92,20,63,269,19,9,0,0,0,5.2,1.18,3.45
2010,DET,33,33,4,0,224.1,190,89,84,14,71,219,18,9,0,0,0,4.1,1.16,3.37
2011,DET,34,34,4,2,251.0,174,73,67,24,57,250,24,5,0,0,0,8.3,0.92,2.40
2012,DET,33,33,6,1,238.1,192,81,70,19,60,239,17,8,0,0,0,7.5,1.06,2.64
2013,DET,34,34,0,0,218.1,212,94,84,19,75,217,13,12,0,0,0,4.6,1.31,3.46
2014,DET,32,32,0,0,206.0,223,114,104,18,65,159,15,12,0,0,0,1.1,1.40,4.54
2015,DET,20,20,1,1,133.1,113,56,50,13,32,113,5,8,0,0,0,2.2,1.09,3.38
2016,DET,34,34,2,0,227.2,171,81,77,30,57,254,16,9,0,0,0,6.6,1.00,3.04
2017,DET,28,28,0,0,172.0,153,76,73,23,67,176,10,8,0,0,0,4.5,1.28,3.82
2017,HOU,5,5,0,0,34.0,17,4,4,4,5,43,5,0,0,0,0,1.8,0.65,1.06
2017,Total,33,33,0,0,206.0,170,80,77,27,72,219,15,8,0,0,0,6.4,1.17,3.36
2018,HOU,11,11,1,1,74.2,38,11,9,4,15,93,6,2,0,0,0,3.1,0.71,1.08
