SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,LAA,9,0,0,0,8.1,8,5,4,0,4,7,0,1,0,3,0,-0.1,1.44,4.32
2009,LAA,54,0,0,0,54.2,63,33,30,2,19,48,6,4,1,17,1,-0.6,1.50,4.94
2010,LAA,68,0,0,0,59.0,54,26,26,2,29,61,2,4,0,27,4,0.4,1.41,3.97
2011,LAA,16,0,0,0,13.0,21,11,11,2,9,6,1,2,0,2,1,-0.6,2.31,7.62
2012,LAA,49,0,0,0,44.2,39,17,15,3,12,38,3,2,2,18,2,0.3,1.14,3.02
2013,LAA,45,0,0,0,36.0,41,21,18,3,14,36,1,3,0,8,2,-0.2,1.53,4.50
2014,LAA,74,0,0,0,65.0,45,19,19,4,23,75,0,2,2,22,2,1.3,1.05,2.63
2015,MIN,29,0,0,0,28.0,18,5,5,1,7,25,1,1,10,2,1,1.3,0.89,1.61
2015,TB,46,0,0,0,41.2,34,15,13,4,20,34,2,5,5,22,4,0.8,1.30,2.81
2015,Total,75,0,0,0,69.2,52,20,18,5,27,59,3,6,15,24,5,2.0,1.13,2.33
2016,MIN,33,0,0,0,30.2,42,22,21,7,12,22,2,5,7,2,4,-0.6,1.76,6.16
2016,TB,25,0,0,0,19.0,20,13,12,5,9,13,0,1,0,3,0,-0.3,1.53,5.68
2016,Total,58,0,0,0,49.2,62,35,33,12,21,35,2,6,7,5,4,-1.0,1.67,5.98
2018,TEX,21,0,0,0,16.2,15,13,11,4,11,8,0,3,0,3,0,-0.4,1.56,5.94
