YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2011,TEX,8,8,2,3,1,0,0,0,0,1,0,0,.375,.375,.500,.875,0.0
2012,TEX,24,46,6,8,5,2,0,6,4,12,3,0,.174,.235,.370,.605,-0.2
2013,TEX,147,457,66,119,21,6,8,49,28,104,36,9,.260,.313,.385,.698,3.4
2014,TEX,155,533,68,146,13,7,7,40,39,114,31,12,.274,.325,.364,.689,4.6
2015,TEX,95,288,26,63,12,0,5,25,16,69,14,5,.219,.264,.313,.577,1.1
2016,SEA,143,518,72,128,17,3,15,47,44,149,24,6,.247,.306,.378,.684,1.2
2017,SEA,34,115,12,20,2,1,3,8,5,29,6,4,.174,.221,.287,.508,-0.3
2017,CHC,15,13,2,2,1,0,0,1,3,4,1,0,.154,.313,.231,.544,0.3
2017,Total,49,128,14,22,3,1,3,9,8,33,7,4,.172,.232,.281,.513,-0.1
2018,DET,38,151,25,38,8,2,5,15,12,33,1,3,.252,.311,.430,.741,0.8
