SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,MIN,4,4,0,0,23.1,29,16,16,3,6,16,0,2,0,0,0,-0.2,1.50,6.17
2012,MIN,16,16,1,0,85.1,106,61,53,17,26,50,1,8,0,0,0,-1.2,1.55,5.59
2013,MIN,10,8,0,0,47.1,67,39,36,10,14,34,1,3,0,0,0,-0.9,1.71,6.85
2014,KC,6,3,0,0,19.1,26,12,10,0,3,15,0,2,0,1,0,-0.2,1.50,4.66
2014,TOR,3,3,0,0,13.1,12,9,9,3,4,8,1,0,0,0,0,-0.1,1.20,6.08
2014,Total,9,6,0,0,32.2,38,21,19,3,7,23,1,2,0,1,0,-0.3,1.38,5.23
2015,TOR,58,0,0,0,64.2,59,23,21,3,11,71,5,0,0,5,2,0.9,1.08,2.92
2016,OAK,53,0,0,0,64.2,69,31,27,6,14,71,0,4,0,10,1,0.6,1.28,3.76
2017,OAK,70,0,0,0,64.0,57,34,30,7,23,78,4,2,1,16,3,0.2,1.25,4.22
2018,OAK,6,0,0,0,3.0,7,3,3,1,3,1,0,0,0,0,0,-0.1,3.33,9.00
