YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,NYM,29,84,11,17,6,0,4,13,6,22,0,0,.202,.261,.417,.678,-0.2
2011,NYM,100,301,38,88,21,3,10,50,33,57,1,0,.292,.370,.482,.852,0.7
2012,NYM,121,401,43,96,15,0,15,57,51,120,1,0,.239,.329,.389,.718,-1.4
2013,NYM,100,318,42,71,16,0,15,33,55,102,0,3,.223,.352,.415,.767,-0.2
2014,NYM,153,514,74,130,27,0,30,92,69,135,3,2,.253,.349,.481,.830,3.7
2015,NYM,135,471,67,115,33,0,27,73,66,138,0,2,.244,.352,.486,.838,3.0
2016,NYM,47,153,20,35,7,0,7,23,15,36,0,0,.229,.302,.412,.714,0.1
2017,NYM,75,252,30,62,21,0,17,37,37,73,0,0,.246,.347,.532,.879,1.1
2017,TB,52,171,20,30,7,0,13,27,23,62,0,0,.175,.285,.444,.729,-0.0
2017,Total,127,423,50,92,28,0,30,64,60,135,0,0,.217,.322,.496,.818,1.1
2018,KC,37,133,12,34,7,0,4,19,9,31,0,0,.256,.317,.398,.715,0.2
