SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,SD,72,0,0,0,75.0,62,29,27,3,31,93,2,4,1,27,6,0.8,1.24,3.24
2010,SD,80,0,0,0,78.1,47,30,28,8,18,89,4,7,2,40,5,0.4,0.83,3.22
2011,SD,61,0,0,0,55.2,57,23,17,2,19,34,3,3,0,16,4,0.0,1.37,2.75
2012,SD,77,0,0,0,71.2,57,19,19,7,21,72,2,0,9,24,4,1.8,1.09,2.39
2013,SD,73,0,0,0,66.1,49,24,20,3,18,64,6,8,4,25,5,0.7,1.01,2.71
2014,OAK,72,0,0,0,72.1,58,20,17,6,15,59,5,5,3,22,8,1.7,1.01,2.12
2015,HOU,64,0,0,0,61.0,48,24,21,5,10,59,7,3,31,0,6,0.8,0.95,3.10
2016,HOU,59,0,0,0,57.2,38,23,21,5,18,67,4,3,15,15,6,0.6,0.97,3.28
2017,HOU,65,0,0,0,61.0,62,31,31,13,20,70,2,3,1,18,3,0.0,1.34,4.57
2018,STL,12,0,0,0,8.1,8,8,8,2,3,8,0,0,0,2,0,-0.4,1.32,8.64
