SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,TOR,11,11,0,0,61.1,51,27,25,7,30,60,2,4,0,0,0,1.1,1.32,3.67
2010,TOR,14,12,0,0,63.2,72,37,35,8,30,57,4,4,0,2,0,0.1,1.60,4.95
2011,TOR,43,0,0,0,39.1,28,16,13,2,15,33,2,3,0,10,3,0.7,1.09,2.97
2011,STL,28,0,0,0,22.2,22,11,10,1,11,28,0,3,0,8,1,0.0,1.46,3.97
2011,Total,71,0,0,0,62.0,50,27,23,3,26,61,2,6,0,18,4,0.7,1.23,3.34
2012,STL,70,0,0,0,46.2,46,22,22,7,17,33,1,3,0,18,5,0.0,1.35,4.24
2013,CLE,27,0,0,0,20.1,11,4,2,1,6,20,0,0,0,6,0,0.7,0.84,0.89
2013,STL,11,0,0,0,10.1,16,9,9,1,4,9,0,0,0,0,0,-0.3,1.94,7.84
2013,Total,38,0,0,0,30.2,27,13,11,2,10,29,0,0,0,6,0,0.4,1.21,3.23
2014,CLE,73,0,0,0,46.0,42,19,14,1,19,46,0,3,1,13,1,0.6,1.33,2.74
2015,CLE,45,0,0,0,20.1,23,15,10,1,10,24,2,3,0,12,2,-0.3,1.62,4.43
2015,SD,27,0,0,0,14.2,17,14,12,2,4,17,0,1,0,4,2,-0.8,1.43,7.36
2015,Total,72,0,0,0,35.0,40,29,22,3,14,41,2,4,0,16,4,-1.2,1.54,5.66
2016,OAK,56,0,0,0,36.0,38,14,12,1,24,37,1,0,0,6,1,0.8,1.72,3.00
2016,WSH,14,0,0,0,11.2,8,3,2,0,5,9,0,0,0,5,0,0.3,1.11,1.54
2016,Total,70,0,0,0,47.2,46,17,14,1,29,46,1,0,0,11,1,1.1,1.57,2.64
2017,SEA,64,0,0,0,31.1,29,16,14,2,20,25,2,2,1,20,2,0.3,1.56,4.02
2018,SEA,16,0,0,0,6.2,11,9,6,2,6,9,0,0,0,3,0,-0.5,2.55,8.10
