SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,WAS,11,0,0,0,12.2,17,13,11,4,5,10,0,0,0,3,1,-0.5,1.74,7.82
2009,WAS,4,1,0,0,7.1,6,6,5,1,4,9,0,1,0,0,0,-0.1,1.36,6.14
2010,MIL,7,1,0,0,11.1,14,13,12,3,6,13,0,0,0,0,0,-0.6,1.76,9.53
2011,MIL,43,7,0,0,92.2,83,45,42,11,29,88,4,8,0,4,3,0.3,1.21,4.08
2012,MIL,29,23,0,0,138.1,129,62,56,18,29,143,5,7,0,1,0,1.3,1.14,3.64
2013,MIL,21,21,0,0,128.0,109,56,55,19,29,118,7,4,0,0,0,1.5,1.08,3.87
2014,MIL,39,18,0,0,150.2,137,77,73,29,44,127,7,6,0,0,0,0.5,1.20,4.36
2015,TOR,34,28,0,0,181.0,134,67,63,24,55,131,13,8,0,0,0,3.6,1.04,3.13
2016,TOR,29,29,0,0,176.0,132,73,68,23,65,165,9,9,0,0,0,3.4,1.12,3.48
2017,TOR,33,33,0,0,186.0,186,104,103,31,71,176,10,9,0,0,0,2.2,1.38,4.98
2018,TOR,10,10,0,0,55.0,62,33,33,12,17,41,2,5,0,0,0,0.3,1.44,5.40
