SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,NYY,13,0,0,0,16.1,13,8,7,0,10,10,0,1,0,0,1,0.2,1.41,3.86
2010,NYY,2,0,0,0,4.0,7,5,4,1,0,3,0,0,0,0,0,-0.1,1.75,9.00
2010,HOU,20,0,0,0,17.1,12,8,6,1,8,19,2,0,0,8,1,0.1,1.15,3.12
2010,Total,22,0,0,0,21.1,19,13,10,2,8,22,2,0,0,8,1,0.0,1.27,4.22
2011,HOU,71,0,0,0,74.1,65,28,23,5,26,66,8,4,20,3,5,0.8,1.22,2.78
2012,BOS,41,0,0,0,45.0,45,31,31,8,12,41,0,2,1,2,1,-0.6,1.27,6.20
2013,PIT,72,0,0,0,71.0,60,15,11,1,8,70,3,2,16,26,5,2.0,0.96,1.39
2014,PIT,72,0,0,0,71.0,51,15,15,2,11,71,3,5,33,14,4,2.4,0.87,1.90
2015,PIT,78,0,0,0,76.2,57,22,19,4,14,62,3,2,51,1,2,1.9,0.93,2.23
2016,WSH,30,0,0,0,29.2,21,6,6,1,3,27,1,1,17,0,1,1.2,0.81,1.82
2016,PIT,45,0,0,0,41.2,31,10,7,2,9,38,1,1,30,0,3,1.7,0.96,1.51
2016,Total,75,0,0,0,71.1,52,16,13,3,12,65,2,2,47,0,4,2.8,0.90,1.64
2017,SF,32,0,0,0,30.0,37,16,15,3,6,29,1,2,11,5,5,0.1,1.43,4.50
