YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,LAA,8,15,2,1,0,0,0,2,1,8,0,0,.067,.125,.067,.192,-0.1
2011,LAA,149,539,65,137,31,1,29,87,25,120,9,4,.254,.291,.477,.768,2.5
2012,LAA,144,544,66,146,19,3,32,95,36,153,4,5,.268,.317,.491,.808,2.3
2013,LAA,159,620,85,145,30,2,34,100,54,184,5,2,.234,.294,.453,.747,2.2
2014,ARI,88,328,37,77,15,1,14,61,28,89,2,3,.235,.293,.415,.708,-1.1
2015,SEA,96,334,39,88,13,0,13,41,26,93,0,0,.263,.316,.419,.735,0.8
2015,ARI,46,174,23,45,10,3,9,23,10,39,0,0,.259,.299,.506,.805,0.8
2015,Total,142,508,62,133,23,3,22,64,36,132,0,0,.262,.310,.449,.759,1.6
2016,BAL,159,613,94,157,27,1,47,108,51,170,2,0,.256,.316,.533,.849,1.6
2017,BAL,146,559,79,131,22,0,23,65,42,149,1,0,.234,.289,.397,.686,-0.6
2018,BAL,20,81,10,25,7,0,2,8,1,22,0,0,.309,.317,.469,.786,-0.1
