SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,HOU,4,2,0,0,15.0,17,10,10,1,7,11,0,2,0,0,0,-0.2,1.60,6.00
2007,HOU,31,18,0,0,110.2,127,77,72,18,50,71,4,11,0,0,0,-0.5,1.60,5.86
2008,BAL,28,3,0,0,49.0,43,21,19,4,22,26,3,3,0,6,2,0.7,1.33,3.49
2009,BAL,56,0,0,0,67.0,80,43,41,3,36,49,3,6,0,10,4,-0.3,1.73,5.51
2010,BAL,62,0,0,0,75.2,78,41,38,6,34,49,5,3,0,7,2,0.2,1.48,4.52
2011,BOS,56,0,0,0,64.2,62,35,34,7,31,68,4,4,0,10,3,-0.1,1.44,4.73
2012,BOS,40,0,0,0,39.1,30,14,10,6,15,25,2,0,0,7,4,0.7,1.14,2.29
2012,ARI,23,0,0,0,21.0,16,7,6,3,7,19,1,1,0,2,2,0.4,1.10,2.57
2012,Total,63,0,0,0,60.1,46,21,16,9,22,44,3,1,0,9,6,1.1,1.13,2.39
2013,CLE,56,0,0,0,63.0,57,25,22,2,23,35,3,1,0,1,0,0.6,1.27,3.14
2014,HOU,8,0,0,0,10.0,10,1,1,0,3,8,0,0,0,3,1,0.5,1.30,0.90
2015,CHW,30,0,0,0,37.1,31,6,5,3,9,28,2,0,0,6,0,1.4,1.07,1.21
2016,CHW,58,1,0,0,51.1,67,44,36,10,19,30,2,6,0,13,4,-2.0,1.68,6.31
2017,WSH,63,0,0,0,61.0,35,12,11,6,17,63,7,2,2,14,3,2.5,0.85,1.62
2018,MIL,20,0,0,0,23.0,17,4,3,2,4,18,3,1,1,6,1,0.7,0.91,1.17
