SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2003,CIN,6,0,0,0,8.2,10,5,5,1,2,6,1,1,0,0,1,0.0,1.38,5.19
2005,CIN,60,5,0,0,85.2,101,49,42,11,26,59,4,8,1,8,3,0.0,1.48,4.41
2006,CIN,30,2,0,0,40.0,43,18,16,5,19,26,2,0,0,0,1,0.5,1.55,3.60
2007,CIN,30,30,1,0,177.2,212,111,105,26,43,125,8,9,0,0,0,1.0,1.44,5.32
2008,CIN,6,6,0,0,29.2,47,27,24,4,6,14,1,4,0,0,0,-0.8,1.79,7.28
2009,COL,24,0,0,0,31.0,35,21,19,6,5,22,3,1,0,1,0,-0.3,1.29,5.52
2010,COL,76,0,0,0,92.0,84,34,30,7,16,91,7,5,1,21,1,1.8,1.09,2.93
2011,COL,74,0,0,0,72.0,77,33,26,5,14,58,10,4,0,14,7,0.6,1.26,3.25
2012,COL,80,0,0,0,80.0,91,36,33,5,18,69,3,8,3,26,7,2.3,1.36,3.71
2013,COL,72,0,0,0,73.0,76,37,35,6,15,62,5,7,0,24,5,0.6,1.25,4.32
2014,COL,66,1,0,0,64.2,74,35,35,5,19,43,4,7,0,6,2,0.1,1.44,4.87
2015,STL,34,0,0,0,33.2,34,10,10,1,15,25,1,1,0,8,1,0.7,1.46,2.67
2016,WSH,40,0,0,0,46.0,43,13,9,2,7,32,0,0,0,4,0,1.1,1.09,1.76
2017,MIN,62,0,0,0,60.1,48,31,27,7,22,54,2,2,9,17,5,0.0,1.16,4.03
2018,CLE,8,0,0,0,10.2,9,6,6,1,1,4,0,0,0,0,1,-0.0,0.94,5.06
