YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,DET,92,242,40,61,16,3,12,33,31,65,0,2,.252,.339,.492,.831,1.5
2009,TB,11,32,3,6,1,0,3,7,3,7,1,0,.188,.270,.500,.770,-0.3
2010,TB,77,216,30,52,15,3,10,40,40,55,2,2,.241,.360,.477,.837,1.7
2011,TB,141,462,69,128,32,2,19,75,49,106,13,1,.277,.347,.478,.825,2.8
2012,TB,124,399,55,96,18,3,17,59,55,102,4,3,.241,.341,.429,.770,1.8
2013,TB,140,413,61,97,22,0,18,47,59,87,7,3,.235,.328,.419,.747,1.2
2014,TB,140,418,51,106,23,2,9,52,62,111,2,5,.254,.349,.383,.732,1.3
2015,LAA,93,247,17,43,12,1,5,21,30,67,0,3,.174,.272,.291,.563,-1.0
2016,PIT,140,231,45,56,10,1,13,42,59,67,1,1,.242,.403,.463,.866,1.7
2017,OAK,141,469,78,114,33,0,25,68,66,113,4,1,.243,.335,.473,.808,1.7
2018,OAK,46,137,20,29,8,0,5,8,25,36,0,2,.212,.335,.380,.715,0.3
