SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,TB,3,1,0,0,9.1,9,3,3,1,3,15,1,0,0,1,0,0.3,1.29,2.89
2012,TB,31,31,0,0,177.1,158,85,75,18,81,175,11,11,0,0,0,1.2,1.35,3.81
2013,TB,27,27,1,1,150.1,119,58,55,14,76,143,17,4,0,0,0,2.6,1.30,3.29
2014,TB,2,2,0,0,10.0,10,3,3,1,5,6,0,2,0,0,0,0.3,1.50,2.70
2015,TB,12,12,0,0,63.0,74,40,38,9,23,46,3,4,0,0,0,-0.4,1.54,5.43
2016,SF,12,12,0,0,68.1,59,31,31,5,32,69,6,5,0,0,0,0.8,1.33,4.08
2016,TB,21,21,0,0,130.0,125,62,59,20,40,109,7,7,0,0,0,1.3,1.27,4.08
2016,Total,33,33,0,0,198.1,184,93,90,25,72,178,13,12,0,0,0,2.1,1.29,4.08
2017,SF,32,31,0,0,174.1,200,116,107,27,67,148,6,15,0,0,0,-0.3,1.53,5.52
2018,TEX,10,9,0,0,41.2,63,40,37,6,21,33,1,5,0,0,0,-1.0,2.02,7.99
