YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,BAL,96,354,35,102,15,1,9,43,28,86,0,0,.288,.340,.412,.752,1.2
2010,BAL,130,446,37,111,22,1,11,55,47,94,0,1,.249,.319,.377,.696,2.3
2011,BAL,139,500,72,131,28,0,22,68,48,84,1,0,.262,.328,.450,.778,4.8
2012,BAL,144,526,67,131,27,1,23,83,60,112,3,0,.249,.329,.435,.764,3.2
2013,BAL,148,523,59,123,29,0,22,79,43,104,2,0,.235,.287,.417,.704,0.5
2014,BAL,26,104,13,32,5,0,5,18,6,19,0,1,.308,.339,.500,.839,0.7
2015,BAL,75,258,24,69,14,1,8,25,21,67,0,0,.267,.319,.422,.741,0.8
2016,BAL,124,423,48,103,17,1,17,66,32,85,1,0,.243,.302,.409,.711,1.7
2017,WSH,123,422,43,95,20,0,10,52,38,94,1,0,.225,.288,.344,.632,-0.6
2018,WSH,23,65,6,15,1,0,3,7,10,12,0,1,.231,.342,.385,.727,0.5
