SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,ARI,16,7,0,0,56.0,48,24,19,5,21,66,0,4,0,0,0,1.2,1.23,3.05
2009,ARI,30,30,0,0,170.1,166,94,78,20,63,174,9,11,0,0,0,1.1,1.34,4.12
2010,DET,31,31,0,0,195.2,174,84,76,20,70,184,12,11,0,0,0,3.1,1.25,3.50
2011,DET,33,33,0,0,195.0,207,101,96,29,56,174,15,9,0,0,0,1.1,1.35,4.43
2012,DET,32,32,0,0,187.2,179,82,78,23,60,231,16,7,0,0,0,4.0,1.27,3.74
2013,DET,32,32,0,0,214.1,152,73,69,18,56,240,21,3,0,0,0,6.7,0.97,2.90
2014,DET,33,33,1,1,220.1,196,80,77,18,63,252,18,5,0,0,0,6.0,1.18,3.15
2015,WSH,33,33,4,3,228.2,176,74,71,27,34,276,14,12,0,0,0,7.0,0.92,2.79
2016,WSH,34,34,1,0,228.1,165,77,75,31,56,284,20,7,0,0,0,6.2,0.97,2.96
2017,WSH,31,31,2,0,200.2,126,62,56,22,55,268,16,6,0,0,0,7.3,0.90,2.51
2018,WSH,10,10,1,1,65.2,40,16,13,5,16,104,7,1,0,0,0,2.6,0.85,1.78
