YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,CLE,28,112,10,35,4,0,0,11,8,19,4,4,.313,.358,.348,.706,-0.1
2010,CLE,72,297,38,73,9,3,3,22,22,38,10,2,.246,.296,.327,.623,-1.3
2011,CLE,114,451,63,120,24,4,7,46,34,76,13,5,.266,.318,.384,.702,1.6
2012,CLE,149,552,63,159,37,4,6,60,53,56,12,9,.288,.348,.402,.750,2.9
2013,CLE,151,556,66,158,26,3,10,73,40,67,17,4,.284,.332,.396,.728,2.7
2014,CLE,156,611,94,200,45,2,20,97,52,56,23,1,.327,.385,.506,.891,7.0
2015,CLE,137,529,68,164,45,0,15,84,60,51,15,1,.310,.379,.480,.859,3.4
2016,CLE,11,39,5,9,2,0,0,7,3,6,1,0,.231,.279,.282,.561,-0.1
2017,CLE,90,338,47,101,20,1,9,52,31,50,11,1,.299,.357,.444,.801,2.1
2018,CLE,38,155,23,52,11,1,7,32,9,15,1,2,.335,.371,.555,.926,0.7
