YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2003,FLA,87,314,39,84,21,3,12,62,25,84,0,2,.268,.325,.468,.793,0.5
2004,FLA,160,603,101,177,31,1,33,112,68,148,5,2,.294,.366,.512,.878,3.2
2005,FLA,158,613,106,198,43,2,33,116,64,125,1,0,.323,.385,.561,.946,4.9
2006,FLA,158,576,112,195,50,2,26,114,86,108,9,6,.339,.430,.568,.998,5.5
2007,FLA,157,588,91,188,38,2,34,119,79,127,2,1,.320,.401,.565,.966,3.0
2008,DET,160,616,85,180,36,2,37,127,56,126,1,0,.292,.349,.537,.886,2.3
2009,DET,160,611,96,198,34,0,34,103,68,107,6,2,.324,.396,.547,.943,4.7
2010,DET,150,548,111,180,45,1,38,126,89,95,3,3,.328,.420,.622,1.042,6.1
2011,DET,161,572,111,197,48,0,30,105,108,89,2,1,.344,.448,.586,1.034,7.3
2012,DET,161,622,109,205,40,0,44,139,66,98,4,1,.330,.393,.606,.999,6.9
2013,DET,148,555,103,193,26,1,44,137,90,94,3,0,.348,.442,.636,1.078,7.2
2014,DET,159,611,101,191,52,1,25,109,60,117,1,1,.313,.371,.524,.895,4.9
2015,DET,119,429,64,145,28,1,18,76,77,82,1,1,.338,.440,.534,.974,5.2
2016,DET,158,595,92,188,31,1,38,108,75,116,0,0,.316,.393,.563,.956,4.9
2017,DET,130,469,50,117,22,0,16,60,54,110,0,1,.249,.329,.399,.728,-0.8
2018,DET,26,93,13,30,9,0,3,21,14,17,0,0,.323,.407,.516,.923,0.6
