YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,ARI,6,16,0,4,1,0,0,3,1,3,0,0,.250,.294,.313,.607,0.0
2007,ARI,84,214,30,48,7,0,10,37,20,35,0,0,.224,.292,.397,.689,-0.7
2008,ARI,70,184,24,47,16,1,5,18,19,49,0,0,.255,.330,.435,.765,-0.4
2009,ARI,128,425,61,125,30,0,16,59,38,78,1,2,.294,.355,.478,.833,3.1
2010,ARI,85,297,36,79,20,2,9,43,29,71,0,1,.266,.332,.438,.770,1.1
2011,ARI,140,493,65,139,36,1,18,86,47,97,1,1,.282,.351,.469,.820,3.8
2012,ARI,141,486,65,139,25,2,15,88,73,130,0,0,.286,.391,.438,.829,3.7
2013,ARI,116,413,44,95,14,0,11,42,51,110,0,0,.230,.318,.344,.662,0.1
2014,ARI,136,489,40,119,23,0,13,72,56,97,0,4,.243,.329,.370,.699,0.7
2015,CHC,113,347,36,86,11,0,15,53,49,103,1,1,.248,.345,.409,.754,1.8
2016,CHC,86,241,33,52,8,1,8,33,38,58,1,0,.216,.327,.357,.684,-0.3
2017,TOR,32,87,12,12,3,0,2,8,12,23,0,0,.138,.248,.241,.489,-0.7
2017,CHC,44,98,12,28,3,0,4,8,11,24,1,0,.286,.366,.439,.805,0.1
2017,Total,76,185,24,40,6,0,6,16,23,47,1,0,.216,.310,.346,.656,-0.6
2018,WSH,4,11,0,0,0,0,0,0,2,3,0,0,.000,.154,.000,.154,-0.3
